fold,holdout_cell,entropy_partial,ratio_partial,entropy_full,ratio_full,train_policy_alpha_mean,train_support_alpha_mean,train_joint_alpha_mean
0,sparse_full_noisy::high_skew,0.62,1.2000000000000002,0.3,0.8,0.10179967008687715,0.13948254750594566,0.1542020611000408
1,sparse_full_noisy::low_skew,0.62,1.2000000000000002,0.76,1.1600000000000001,0.16229166732442718,0.20013063238673565,0.21150639379049824
2,sparse_full_noisy::mid_skew,0.62,1.2000000000000002,0.76,1.1600000000000001,0.16557890996522545,0.2034178750275339,0.21798130097838914
3,sparse_partial_high_noise::high_skew,0.3,0.8,0.76,1.1600000000000001,0.1558410823970013,0.15599717004024125,0.17598212217205128
4,sparse_partial_high_noise::low_skew,0.62,1.2000000000000002,0.76,1.1600000000000001,0.1469796294616608,0.1848185945239692,0.18242864524686705
5,sparse_partial_high_noise::mid_skew,0.62,1.2000000000000002,0.76,1.1600000000000001,0.10667877367689652,0.14451773873920495,0.15908116469006017
