target,feature_set,rmse,mae,r2
width_residue,e_only,0.0010469143524335887,0.0008218937031954343,0.999967363729071
width_residue,d_only,8.07067998481663,2.499508615439255,-1938.5388211808527
width_residue,S_only,12.806180565823997,8.226209449805236,-4882.345639646138
width_residue,d_and_S,1.2695347030318083,0.7634971672274836,-46.9918372520977
normalized_perimeter,e_only,0.000189624275699767,0.0001521269493939222,0.9999947478243693
normalized_perimeter,d_only,3.637744391903379,1.133576898303738,-1931.9282355515065
normalized_perimeter,S_only,5.647291333493884,3.626806032565874,-4657.3461418634015
normalized_perimeter,d_and_S,0.5589693715056178,0.34262520467400776,-44.638082965150076
major_tip_response,e_only,0.15885496216226325,0.11421990238254894,0.9897956059021038
major_tip_response,d_only,36.233118216440396,10.840939768145978,-529.880867347999
major_tip_response,S_only,116.70746043561948,75.11958597403955,-5506.859961925408
major_tip_response,d_and_S,13.252963424425193,7.091528259288097,-70.02506678809296
minor_tip_response,e_only,0.0010469143524335887,0.0008218937031954343,0.999967363729071
minor_tip_response,d_only,8.07067998481663,2.499508615439255,-1938.5388211808527
minor_tip_response,S_only,12.806180565823997,8.226209449805236,-4882.345639646138
minor_tip_response,d_and_S,1.2695347030318083,0.7634971672274836,-46.9918372520977
