condition,trial,true_rho,true_t,true_h,true_w1,true_w2,true_w3,true_alpha,true_rotation_shift,baseline_geometry_mae,baseline_weight_mae,baseline_alpha_error,baseline_fit_rmse,harmonic_geometry_mae,harmonic_weight_mae,harmonic_alpha_error,harmonic_fit_rmse,pca_geometry_mae,pca_weight_mae,pca_alpha_error,pca_fit_rmse,oracle_geometry_mae,oracle_weight_mae,oracle_alpha_error,oracle_fit_rmse
full_clean,0,0.06366686813875044,-0.6393025129444404,0.7819879347386793,0.5068427722258251,0.07203577428737598,0.42112145348679897,1.624826677594979,19,0.1315477351423437,0.04177660019938045,1.013743642598147,0.007010455789014695,0.1315477351423437,0.04177660019938045,1.013743642598147,0.007010455789014695,0.1315477351423437,0.04177660019938045,1.013743642598147,0.007010455789014695,0.008682076416305253,0.11445588485515457,0.04891735539535769,0.011516163077416932
full_clean,1,0.11575352854486015,0.606777121663369,0.7713804723527385,0.38883615282490425,0.20952555541233167,0.4016382917627641,1.6189450617927703,46,0.05146612228651243,0.04988325388392335,1.0078620267959382,0.006301465140559297,0.05146612228651243,0.04988325388392335,1.0078620267959382,0.006301465140559297,0.05146612228651243,0.04988325388392335,1.0078620267959382,0.006301465140559297,0.02777421832750199,0.14574838039702506,0.02020425655329805,0.011161025910697665
full_clean,2,0.21022689352863694,-0.592333039034886,1.1707832797323534,0.06462426308567776,0.08634750187555691,0.8490282350387653,0.9565191726239064,28,0.26464336175828446,0.18821143423896847,0.0029027178422850186,0.006644083772658889,0.05216104185924384,0.3661128945220966,0.016689121083229175,0.01161363464155368,0.26464336175828446,0.18821143423896847,0.0029027178422850186,0.006644083772658889,0.26464336175828446,0.18821143423896847,0.0029027178422850186,0.006894836894232846
full_clean,3,0.06636823768339316,-0.5423089744792815,0.7398238879319663,0.360575788404879,0.14643279093025913,0.49299142066486185,0.7358681929671219,3,0.034586909789906424,0.24673440895298238,0.005948522206194906,0.005206699285035155,0.034586909789906424,0.24673440895298238,0.005948522206194906,0.005206699285035155,0.034586909789906424,0.24673440895298238,0.005948522206194906,0.005206699285035155,0.034586909789906424,0.24673440895298238,0.005948522206194906,0.005206699285035155
full_clean,4,0.21382834724331654,-0.1282187858620676,1.1077722032971633,0.46109528704727626,0.4497175311357701,0.08918718181695368,1.5229121360682243,24,0.25527753187601093,0.19429345371030995,0.0328153070684023,0.00882811910151605,0.25527753187601093,0.19429345371030995,0.0328153070684023,0.008828119101516051,0.25527753187601093,0.19429345371030995,0.0328153070684023,0.008828119101516051,0.25527753187601093,0.19429345371030995,0.0328153070684023,0.008828119101516051
full_clean,5,0.17486212535217818,-0.6031504446164943,1.046225751541354,0.3935099100817328,0.4500839804207123,0.15640610949755496,0.8699786564145536,35,0.07365097153288627,0.06374711731326006,0.005877094302495389,0.0056541186693929045,0.14001537760147653,0.1528561234928964,0.011473552916765883,0.007401041924410147,0.07365097153288627,0.06374711731326006,0.005877094302495389,0.005654118669392904,0.14001537760147653,0.1528561234928964,0.011473552916765883,0.007401041924410147
full_clean,6,0.14533851404351483,0.08989039580586408,0.5563741752509338,0.4268854543194042,0.03373245649957455,0.5393820891810212,1.7188019666554404,33,0.08229822010306524,0.11180148410441985,0.03380759410621548,0.00785199388952578,0.08229822010306524,0.11180148410441985,0.03380759410621548,0.007851993889525781,0.08229822010306524,0.11180148410441985,0.03380759410621548,0.007851993889525781,0.07952357657761223,0.038192671866897544,0.015069551549835802,0.022858017032298873
full_clean,7,0.12419965439554917,-0.14939893318111036,0.8353182541746916,0.10829799339832308,0.22124064390892545,0.6704613626927516,1.2958587398070216,17,0.0810170608326594,0.3611270781393179,0.5332256829243865,0.006660418774172713,0.0810170608326594,0.3611270781393179,0.5332256829243865,0.006660418774172713,0.0810170608326594,0.3611270781393179,0.5332256829243865,0.006660418774172713,0.11092305896877323,0.1507489277984033,0.005856749926805183,0.007249545949670966
full_clean,8,0.18915644894771902,0.03152451144211299,0.7689350279387283,0.162152542183378,0.3630597574912348,0.47478770032538714,1.0222149097371116,12,0.033376492726820285,0.03164117494480922,0.0036668229830132404,0.003916639068014438,0.033376492726820285,0.03164117494480922,0.0036668229830132404,0.005546004130434981,0.033376492726820285,0.03164117494480922,0.0036668229830132404,0.003916639068014438,0.033376492726820285,0.03164117494480922,0.0036668229830132404,0.005546004130434981
full_clean,9,0.09832691299745462,-0.4019510368513324,1.3219965004846927,0.670078175967422,0.21666911156327548,0.11325271246930249,0.8752907097431076,32,0.02290270401607335,0.048525373608916754,0.006161499588211883,0.0040975603623537755,0.02290270401607335,0.048525373608916754,0.006161499588211883,0.0040975603623537755,0.02290270401607335,0.048525373608916754,0.006161499588211883,0.0040975603623537755,0.02290270401607335,0.048525373608916754,0.006161499588211883,0.0040975603623537755
full_clean,10,0.18085506562039394,-0.44824026388744675,0.787889866905455,0.4284288151273914,0.4276738953915074,0.1438972894811012,1.070501404734099,22,0.09343300475232708,0.18510906681846043,0.012406843524054079,0.009554803699780602,0.09343300475232708,0.18510906681846043,0.012406843524054079,0.0095548036997806,0.09343300475232708,0.18510906681846043,0.012406843524054079,0.0095548036997806,0.09443189963387462,0.12935443202974084,0.003257715642986714,0.011278090653884321
