condition,geometry_mae_mean,geometry_mae_p95,weight_mae_mean,weight_mae_p95,alpha_mae_mean,alpha_mae_p95,fit_rmse_mean
full_clean,0.08453480929779833,0.15042204151101754,0.14930596088354933,0.36607427522441427,0.1874586011573234,0.7856477416454271,0.007013468057229065
full_noisy,0.08863466413901686,0.16999572787825595,0.16214588570162924,0.29041793909331126,0.290745041264556,0.7992320751440719,0.008248413906044201
partial_arc_noisy,0.061814022019271955,0.12277150831956014,0.1362807527352178,0.24512430681844036,0.10211846116866596,0.46046908770756984,0.011485883324204648
sparse_full_noisy,0.07885474598986966,0.13183337736992537,0.18986343941417755,0.2953630097958697,0.19957704502745657,0.7774114688256974,0.013016604391523467
sparse_partial_high_noise,0.08779929821379714,0.1467095521716788,0.1599596058123009,0.3141369083851131,0.1562213034467127,0.5450002539362317,0.05001568118095949
