condition,mode,representation,trial,true_alpha,true_rotation_shift,geometry_mae,weight_mae,alpha_abs_error,fit_rmse,euclidean_fit_rmse,fit_improvement_factor
full_clean,canonical,radial,0,0.6224936077428613,0,0.07686601473121928,0.05706975984625167,0.005294678034913125,0.006209000580923285,0.16748781712889688,26.975004261312414
full_clean,pose_free,radial,0,0.6224936077428613,3,0.07686601473121928,0.05706975984625167,0.005294678034913125,0.006209000580923285,0.16339577502168018,26.315954217125075
full_clean,canonical,support,0,0.6224936077428613,0,0.07686601473121928,0.05706975984625167,0.005294678034913125,0.006862892246202137,0.1608283821971929,23.434490361726702
full_clean,pose_free,support,0,0.6224936077428613,3,0.07686601473121928,0.05706975984625167,0.005294678034913125,0.006862892246202137,0.15665305909358565,22.8260991829321
full_clean,canonical,radial,1,0.7193060041113101,0,0.0226006078158848,0.03953069817569935,0.0009068081921985716,0.008532051405651725,0.11658327834990392,13.664155641710959
full_clean,pose_free,radial,1,0.7193060041113101,33,0.11758620903949653,0.17844518077692065,0.6557143866122214,0.0069166644484582335,0.11261941670813182,16.282330529021884
full_clean,canonical,support,1,0.7193060041113101,0,0.0226006078158848,0.03953069817569935,0.0009068081921985716,0.008067371065155591,0.11432204850866035,14.170917339161152
full_clean,pose_free,support,1,0.7193060041113101,33,0.11758620903949653,0.17844518077692065,0.6557143866122214,0.006707036411218447,0.11044696963163536,16.467328169994353
full_clean,canonical,radial,2,1.1599454598780887,0,0.031035489208105393,0.10118185273005349,7.64685484000438e-05,0.0020299253121675285,0.051200823102311735,25.223008351790117
full_clean,pose_free,radial,2,1.1599454598780887,19,0.031035489208105393,0.10118185273005349,7.64685484000438e-05,0.0020299253121675285,0.04904251105098255,24.159761325708864
full_clean,canonical,support,2,1.1599454598780887,0,0.031035489208105393,0.10118185273005349,7.64685484000438e-05,0.002034143196732157,0.05089008464094461,25.01794599450979
full_clean,pose_free,support,2,1.1599454598780887,19,0.031035489208105393,0.10118185273005349,7.64685484000438e-05,0.002034143196732157,0.04883647692219935,24.008377089997868
full_clean,canonical,radial,3,1.3098904087559038,0,0.08258538658783678,0.07715054105578191,0.007470234569729284,0.008794198590475047,0.09127639850102445,10.379160484263508
full_clean,pose_free,radial,3,1.3098904087559038,54,0.15444816399515512,0.15550828278461978,0.5496732621755698,0.007885162783528191,0.0906409710840158,11.495129976690066
full_clean,canonical,support,3,1.3098904087559038,0,0.08258538658783678,0.07715054105578191,0.007470234569729284,0.007774203901960565,0.0900288029177672,11.580453002404912
full_clean,pose_free,support,3,1.3098904087559038,54,0.15444816399515512,0.15550828278461978,0.5496732621755698,0.007431684541377513,0.08940271819228231,12.029939873593035
full_clean,canonical,radial,4,1.2932107215956794,0,0.05520939465540881,0.0346265303379511,0.03238580800034829,0.014001254311127666,0.08937632723314849,6.38345145706807
full_clean,pose_free,radial,4,1.2932107215956794,37,0.05520939465540881,0.0346265303379511,0.03238580800034829,0.014001254311127666,0.08866448191304287,6.332609917853981
full_clean,canonical,support,4,1.2932107215956794,0,0.05520939465540881,0.0346265303379511,0.03238580800034829,0.01278680243144989,0.08803179971420402,6.884582770879814
full_clean,pose_free,support,4,1.2932107215956794,37,0.05520939465540881,0.0346265303379511,0.03238580800034829,0.01278680243144989,0.08716252744636159,6.8166007814416725
full_clean,canonical,radial,5,0.7008949596163795,0,0.11407071602369899,0.007077614030071085,0.013467696610058089,0.009723526062853694,0.12426935714053333,12.780277065875662
full_clean,pose_free,radial,5,0.7008949596163795,11,0.11407071602369899,0.007077614030071085,0.013467696610058089,0.009723526062853694,0.12110945079416298,12.45530170961658
full_clean,canonical,support,5,0.7008949596163795,0,0.11407071602369899,0.007077614030071085,0.013467696610058089,0.009796525456751387,0.12139350630708652,12.391485822499119
full_clean,pose_free,support,5,0.7008949596163795,11,0.11407071602369899,0.007077614030071085,0.013467696610058089,0.009796525456751387,0.11816620036479022,12.062052090453625
full_clean,canonical,radial,6,1.4675865426763441,0,0.2225962131863013,0.1222305771794494,0.004904705136191678,0.007815399304260976,0.1302459003897665,16.665290578148205
full_clean,pose_free,radial,6,1.4675865426763441,28,0.12524241387033383,0.114049750669021,0.02497562606872794,0.005249089257457791,0.1292581140464355,24.624864944483157
full_clean,canonical,support,6,1.4675865426763441,0,0.2225962131863013,0.1222305771794494,0.004904705136191678,0.007187999501503561,0.12656313970979743,17.607561002657746
full_clean,pose_free,support,6,1.4675865426763441,28,0.12524241387033383,0.114049750669021,0.02497562606872794,0.004820175296569347,0.12562567899114582,26.062471022694368
full_clean,canonical,radial,7,1.665032540182778,0,0.008040845924265025,0.12307236322706559,0.008711492807558674,0.007434338416601837,0.1779913074556073,23.941781700188645
full_clean,pose_free,radial,7,1.665032540182778,57,0.008040845924265025,0.12307236322706559,0.008711492807558674,0.007434338416601837,0.17722742155221344,23.83903067372367
full_clean,canonical,support,7,1.665032540182778,0,0.008040845924265025,0.12307236322706559,0.008711492807558674,0.005848934038165375,0.169382566564588,28.959561769603738
full_clean,pose_free,support,7,1.665032540182778,57,0.008040845924265025,0.12307236322706559,0.008711492807558674,0.005848934038165375,0.16866106687601576,28.836206012150445
full_clean,canonical,radial,8,1.7809293534356287,0,0.0897448328523192,0.04788544281085594,0.061290211802055516,0.02331643452281891,0.2015056660888619,8.642216111200705
full_clean,pose_free,radial,8,1.7809293534356287,25,0.033940224929503,0.20133912085848601,0.0001754176866501922,0.016589216161065713,0.20140890735116881,12.140953821788651
full_clean,canonical,support,8,1.7809293534356287,0,0.0897448328523192,0.04788544281085594,0.061290211802055516,0.02378132081238426,0.18936928995634777,7.962942489625414
