split,observation_seed,condition,geometry_skew_bin,true_alpha,true_t,true_rotation_shift,mean_best_entropy,mean_candidate_count,mean_alpha_log_span_set,mean_geometry_span_norm_set,mean_weight_span_norm_set,mean_ambiguity_ratio,max_ambiguity_ratio,alpha_bank_log_span,geometry_bank_span_norm,weight_bank_span_norm,alpha_unstable_flag,best_alpha_error_mean,best_alpha_error_std,best_geometry_error_mean,best_weight_error_mean
calibration,20260410,sparse_full_noisy,low_skew,1.147529461864347,0.10972497877703384,47,0.4390601229775708,13.0,0.30920622157480915,0.6824064842475962,0.5533684966471849,0.49973263445581295,0.562820397778769,0.03289864364892474,0.2102152428964785,0.359202540247938,0,0.05861454560972086,0.013032293576632529,0.06657251385476459,0.09837299270278708
calibration,20260410,sparse_full_noisy,mid_skew,1.2255287217844368,-0.42211193196284297,21,0.5234832982511297,25.4,0.4337581666402146,0.6867965643713807,0.6734863221285586,0.6406724498572913,0.6997854224622896,0.37847326633874157,0.47597495951006313,0.13767136760321208,1,0.25019646133522555,0.1786079445275883,0.1809266889744871,0.2866831004186979
calibration,20260410,sparse_full_noisy,high_skew,0.8719494631553358,0.46748272124058204,4,0.588702559478094,34.2,0.3833291324029437,0.7699462056848045,0.6714920353657889,0.533647583324897,0.5689692191586042,0.30090300974062106,0.6617343600479538,0.20548402688500675,1,0.11671947031534538,0.1295897896896185,0.07938944591344636,0.31916208364842047
calibration,20260410,sparse_partial_high_noise,low_skew,1.1217890161161423,0.1451518868676587,53,0.5782922416055778,83.2,0.5668153830038625,0.9192895345895782,0.7554359222344985,0.6782855327017815,0.7260020785392283,0.2628464709036928,0.4068597004830943,0.41520552168943387,1,0.24576763700074125,0.09461389915940566,0.06275176504763727,0.258661591239919
calibration,20260410,sparse_partial_high_noise,mid_skew,1.1386629736527398,-0.2053148391190289,6,0.6672410039975123,112.0,0.546755526774937,0.918766229420792,0.7688670423228546,0.6481052547033845,0.6599708449807109,0.3406810018691099,0.5303656809299953,0.36162456521803676,1,0.19153328531384217,0.12447390564902622,0.15383409205971765,0.17653759764453653
calibration,20260410,sparse_partial_high_noise,high_skew,1.2163133874347725,-0.6622995711727697,22,0.7118870531237919,132.0,0.5695222580146424,0.9261441588664436,0.7760659114578937,0.6698520781466233,0.734139701397583,0.27357847213318653,0.5049087891527256,0.15263084566114546,1,0.13055005179749218,0.1060474018819372,0.06806816707383115,0.15544616040627315
calibration,20260411,sparse_full_noisy,low_skew,1.1404088967626327,0.02496537790705635,55,0.4828369474341513,15.8,0.2808480655303154,0.7149403647758235,0.5949024685049116,0.43655897987333,0.5470052036193198,0.2679016628115991,0.4805619613131669,0.422946032595694,1,0.20443062050220936,0.09632499755307701,0.06738976199032601,0.11455818904827716
calibration,20260411,sparse_full_noisy,mid_skew,1.1623349409627526,0.2213605062322707,61,0.36897420854284996,27.0,0.42975237094983765,0.8137281379460584,0.6598116724946836,0.585493097253097,0.6209333289729986,0.3364824065294857,0.7316112465231576,0.4114413436941425,1,0.07705198687474668,0.12475470261381345,0.07728730028460473,0.14714317956068995
calibration,20260411,sparse_full_noisy,high_skew,0.8975141620964918,-0.45991871872541895,58,0.49392640054037223,32.2,0.34562329274178755,0.8345099303788235,0.6608910358348121,0.4638613346624913,0.5228826624430588,0.2626752108257139,0.44517047830154993,0.4520554885594453,1,0.09694174699214612,0.10543672959419609,0.053018252364366955,0.1694370231179803
calibration,20260411,sparse_partial_high_noise,low_skew,1.159371427099871,0.14686963596079392,15,0.9553576451522249,60.2,0.27749635214127055,0.8633458012861934,0.7054356550559664,0.3537842531762144,0.3711738496553352,0.07503767572287567,0.4287815289575543,0.5133127531003933,0,0.1605744654315958,0.030306791000847464,0.11886731881178103,0.18556702159898492
calibration,20260411,sparse_partial_high_noise,mid_skew,1.2226140284530431,0.2578962401373784,21,0.6110586613975559,101.2,0.6166075956607922,0.9087758049353483,0.7626972588490242,0.7393100652631336,0.7902089281629828,0.41983922125673157,0.5892666796269589,0.20247089141969968,1,0.16927901325562114,0.2013978852799349,0.10949296519295362,0.11540116996328072
