split,condition,count,mean_ambiguity_ratio,mean_alpha_bank_log_span,mean_geometry_bank_span_norm,alpha_instability_rate
calibration,sparse_full_noisy,18,0.6298754711211298,0.3314571880859333,0.44869409438978913,0.9444444444444444
calibration,sparse_partial_high_noise,18,0.7021125966516317,0.2878822353471438,0.47953051312619405,0.6111111111111112
holdout,sparse_full_noisy,9,0.6205271350483624,0.2883721955540702,0.5131603381818225,0.7777777777777778
holdout,sparse_partial_high_noise,9,0.5695579310357156,0.23012607945393831,0.5686597728947664,0.5555555555555556
confirmation,sparse_full_noisy,9,0.5856955075772484,0.2892980279189714,0.5297659873554899,0.7777777777777778
confirmation,sparse_partial_high_noise,9,0.6649326024671496,0.3478619348463866,0.5091794185901777,0.8888888888888888
