split,count,mean_ambiguity_ratio,mean_best_entropy,mean_alpha_bank_log_span,mean_geometry_bank_span_norm,mean_weight_bank_span_norm,alpha_instability_rate,ambiguity_ratio_vs_alpha_span_corr,alpha_set_span_vs_alpha_span_corr,ambiguity_ratio_vs_geometry_span_corr,entropy_vs_alpha_span_corr
calibration,36,0.6659940338863808,0.576405452440843,0.3096697117165385,0.46411230375799156,0.3524749759177714,0.7777777777777778,0.5841368147324719,0.43528793918101744,0.1195435831266827,-0.5656651438094243
holdout,18,0.595042533042039,0.6038012420809036,0.2592491375040042,0.5409100555382944,0.3579819056172936,0.6666666666666666,0.6296445459501087,0.6053672155943827,0.41267085564822203,-0.6569321288589374
confirmation,18,0.625314055022199,0.5930632575897349,0.31857998138267907,0.5194727029728337,0.32148940174670115,0.8333333333333334,0.9142104705335496,0.8465292005334379,0.4899573310401044,-0.3341164128486851
