condition,alpha_strength_bin,geometry_skew_bin,count,marginalized_alpha_error_mean,support_gated_alpha_error_mean,joint_alpha_error_mean,oracle_pose_alpha_error_mean,joint_vs_support_gated_alpha_ratio,joint_pose_entropy_mean
sparse_full_noisy,moderate,low_skew,2,0.03497439541578473,0.02771139628995245,0.04364971902541537,0.021707178523123594,0.6348585262099233,0.47516627881055895
sparse_full_noisy,moderate,mid_skew,2,0.2165269586129806,0.011275183085961094,0.011275183085961094,0.023672253953306854,1.0,0.3366616642899638
sparse_full_noisy,moderate,high_skew,2,0.33095182069390233,0.33095182069390233,0.33017138247770267,0.007039504324563628,1.002363736706504,0.6607465360414214
sparse_partial_high_noise,moderate,low_skew,2,0.09077411052267215,0.10427158560378452,0.1890384617435713,0.05055618021964603,0.5515892620054634,0.7656227306161092
sparse_partial_high_noise,moderate,mid_skew,2,0.30577586452760586,0.30577586452760586,0.30577586452760586,0.03897958446280014,1.0,0.696467846971548
sparse_partial_high_noise,moderate,high_skew,2,0.2642237392717025,0.24837870802242434,0.22127107711765037,0.014985651601760575,1.1225086950264214,0.6418107804296029
