condition,geometry_skew_bin,trial_in_cell,true_alpha,true_t,true_rotation_shift,marginalized_alpha_error,marginalized_geometry_mae,marginalized_weight_mae,support_gated_alpha_error,support_gated_geometry_mae,support_gated_weight_mae,support_gated_fit_rmse,support_gated_choose_family,joint_alpha_error,joint_geometry_mae,joint_weight_mae,joint_fit_rmse,joint_score,joint_seed_rank,joint_pose_entropy,oracle_pose_alpha_error,oracle_pose_geometry_mae,oracle_pose_weight_mae,oracle_pose_fit_rmse
sparse_full_noisy,low_skew,0,0.8281148971377308,-0.02429252745133885,18,0.035986664974327454,0.0521110514087731,0.11475645012778087,0.02146066672266289,0.11142854990098522,0.034648877242275805,0.012287132021904979,1,0.053337312193588726,0.15398002490511553,0.07657444025222972,0.03125500164134274,0.0017643446061587314,3,0.4341763801681523,0.02146066672266289,0.16179376782146473,0.034648877242275805,0.02153964965893668
sparse_full_noisy,low_skew,1,0.8594985190077352,0.017798300301169356,4,0.03396212585724201,0.12270416406933321,0.11148632363128713,0.03396212585724201,0.12251132114471763,0.11148632363128713,0.01912610414348389,1,0.03396212585724201,0.09997798331809105,0.1130381535297455,0.0193700945493426,0.001571978465378971,1,0.5161561774529656,0.021953690323584296,0.0716190610552824,0.12236019211740023,0.014211326248369143
sparse_full_noisy,mid_skew,0,1.23049937917952,-0.26263153495854386,36,0.4203388698163645,0.02120076384921994,0.26599912666233333,0.009835318762325462,0.058011325913746366,0.1057567962925825,0.006987771158493852,1,0.009835318762325462,0.03663514670812126,0.06380388035803815,0.006328907239778138,0.0014381134112304021,2,0.34880699241732444,0.009835318762325462,0.04055295051181809,0.1057567962925825,0.012662348638790509
sparse_full_noisy,mid_skew,1,1.2352736964100375,-0.4461628967833542,55,0.012715047409596725,0.027402938922596848,0.26310412461400917,0.012715047409596725,0.024755824759929462,0.26310412461400917,0.022743633164147535,1,0.012715047409596725,0.028996759185491106,0.2594623226329665,0.01324191297498984,0.001443713505549829,1,0.3245163361626031,0.037509189144288246,0.0461634827003815,0.03048683282572076,0.011712188981057888
sparse_full_noisy,high_skew,0,0.7854622679413794,-0.507997605366563,46,0.4759277156754953,0.10637490786834708,0.08089525000922994,0.4759277156754953,0.11269928377591003,0.08089525000922994,0.016668984272331405,1,0.4759277156754953,0.11305516179863888,0.08089525000922994,0.01664906894166943,0.0011162701350356762,1,0.5728460157507232,0.010057743136007602,0.07523735567666057,0.027542761908497655,0.00732214969934694
sparse_full_noisy,high_skew,1,0.8911530888639315,0.575419890103175,63,0.18597592571230936,0.21821408220099234,0.05610407582191351,0.18597592571230936,0.24396475822484484,0.05610407582191351,0.015105509073358501,1,0.18441504927991004,0.26337070018880243,0.36396874827234127,0.017280356359868163,0.0009231567581197037,3,0.7486470563321196,0.004021265513119654,0.04803378077557874,0.023822998303268283,0.025051371581920275
sparse_partial_high_noise,low_skew,0,1.1316472349128308,-0.08725530444039503,23,0.16458575897243444,0.05171144447886563,0.11669135586709449,0.19625242563910106,0.05171144447886563,0.11669135586709449,0.0363575701323503,0,0.05515155265418503,0.23555026868713913,0.1494629535769715,0.06201778769150248,0.0021454776907069715,3,0.8457845736704683,0.05515155265418503,0.2060388888776046,0.21514621637027065,0.02860980091793601
sparse_partial_high_noise,low_skew,1,1.1747032526320875,-0.18341595143973244,40,0.016962462072909856,0.04517635979535562,0.11179704140150015,0.012290745568467987,0.1703462724258842,0.05994529830025704,0.03640623203564885,0,0.3229253708329576,0.06510932497435244,0.11179704140150015,0.02988904537056826,0.0020830297294857102,1,0.6854608875617499,0.04596080778510703,0.08676647547063705,0.13798535701445028,0.014745960729321687
sparse_partial_high_noise,mid_skew,0,1.2029368210171472,-0.4221941720222294,30,0.12644113875850138,0.1256986716781364,0.08842255675852011,0.12644113875850138,0.1256986716781364,0.08842255675852011,0.06249985563911853,0,0.12644113875850138,0.13316143728574717,0.09291106158988588,0.07039387374227316,0.002521610790327207,1,0.8407433781164245,0.021113640702049352,0.1582228222071074,0.10702215324235691,0.02022411491791163
sparse_partial_high_noise,mid_skew,1,1.2605151151020821,0.34303964924254776,50,0.48511059029671033,0.028067585427284932,0.21034787359367355,0.48511059029671033,0.028067585427284932,0.21034787359367355,0.020745369760385747,0,0.48511059029671033,0.054286677299338594,0.21034787359367357,0.01959831083520943,0.00247504895239462,1,0.5521923158266715,0.056845528223550934,0.033731083507460076,0.09937546206187775,0.019673307755093336
sparse_partial_high_noise,high_skew,0,1.2150044552358652,0.5342361183608905,11,0.41171791356631116,0.25037704024310264,0.0917588404918095,0.40336118440108826,0.25037704024310264,0.0917588404918095,0.01344754978272073,0,0.0265324102104032,0.2113410657539976,0.03488006074850147,0.01597901145084595,0.0021720437724455075,2,0.6197021899236509,0.0265324102104032,0.1902082370911475,0.07582025918016601,0.011062182881688563
sparse_partial_high_noise,high_skew,1,1.2655853078852912,-0.4806403718953468,7,0.11672956497709386,0.1569188008214926,0.12357609142189897,0.09339623164376043,0.1569188008214926,0.12357609142189897,0.03985680650358914,0,0.41600974402489754,0.055827770478112125,0.05554244882069934,0.04348090628491671,0.002548413164305893,2,0.6639193709355549,0.003438892993117948,0.011932441627152984,0.07736925116428577,0.007058398714044852
