condition,geometry_skew_bin,count,conditioned_alpha_error_mean,family_alpha_error_mean,raw_router_alpha_error_mean,support_router_alpha_error_mean,oracle_router_alpha_error_mean,raw_router_accuracy_mean,support_router_accuracy_mean,family_better_fraction,raw_ratio_index_mean,support_alias_index_mean
sparse_full_noisy,low_skew,4,0.10732996574158396,0.10433781175566195,0.10433781175566198,0.10433781175566195,0.10369846617866779,0.25,0.5,0.5,4.308426731329305,0.09541667766622497
sparse_full_noisy,mid_skew,4,0.2246791769481836,0.20883521262628377,0.20883521262628377,0.3128010554177115,0.11488000082342248,0.5,0.25,0.5,0.46602822688788537,0.037820286237132426
sparse_full_noisy,high_skew,4,0.13760344874883573,0.01721484355907721,0.01791241405466093,0.14108693286226803,0.012944356340308605,0.5,0.25,0.75,0.6667808679565691,0.36477860872975165
sparse_partial_high_noise,low_skew,4,0.20105792822523863,0.24743334410100734,0.269529060788125,0.24743334410100734,0.17896221153812095,0.5,0.5,0.25,0.25539944236764867,0.8907195288029309
sparse_partial_high_noise,mid_skew,4,0.2021888771028087,0.2162996860639532,0.19879968606395315,0.2021888771028087,0.19879968606395315,0.5,0.5,0.25,1.0367397696233938,2.04690227091542
sparse_partial_high_noise,high_skew,4,0.11587860240189843,0.21244150333891196,0.21594995729299438,0.21469995729299443,0.10653681511448265,0.25,0.25,0.5,2.1107141965758323,12.002517678249237
