condition,geometry_skew_bin,trial_in_cell,true_alpha,true_t,top_seed_rank,top_seed_alpha,top_seed_t,top_seed_alpha_strength,raw_ratio_index,support_alias_index,alpha_orbit_absorbable_change,visible_skew_anchor,conditioned_alpha_error,family_alpha_error,conditioned_geometry_mae,family_geometry_mae,family_better,family_minus_conditioned_alpha_gain,raw_router_choose_family,raw_router_alpha_error,raw_router_correct,support_router_choose_family,support_router_alpha_error,support_router_correct,oracle_router_alpha_error
sparse_full_noisy,low_skew,0,0.8281148971377308,-0.02429252745133885,1,0.8641015621120582,0.06059809930692334,0.14606496834558513,2.4103886098106906,0.20238362175199254,0.0011504543167217066,0.0056845228223631195,0.035986664974327454,0.02146066672266289,0.0521110514087731,0.11142854990098522,1,0.014525998251664562,1,0.02146066672266289,1,1,0.02146066672266289,1,0.02146066672266289
sparse_full_noisy,low_skew,1,0.8594985190077352,0.017798300301169356,1,0.8934606448649772,0.41421184263094785,0.11265299139078763,0.2719695088272948,8.374774065733052e-15,1.734723475976807e-18,0.00020713674928554208,0.03396212585724212,0.03396212585724201,0.12270416406933321,0.12251132114471763,1,1.1102230246251565e-16,0,0.03396212585724212,0,1,0.03396212585724201,1,0.03396212585724201
sparse_full_noisy,low_skew,2,1.1628828694876643,0.04671199788075486,1,0.8370777492283016,0.031126023668510912,0.17783832245030998,5.71349313180092,0.17928308891289899,0.00013733941792828594,0.0007660478116539451,0.3258051202593626,0.3258051202593627,0.08902984208653325,0.01839517249629331,0,-1.1102230246251565e-16,1,0.3258051202593627,0,1,0.3258051202593627,0,0.3258051202593626
sparse_full_noisy,low_skew,3,1.2603639110539575,0.04856223973500107,1,1.3255965295960277,0.03189264223228722,0.28186256913948354,8.837855674878318,0.0,0.0,0.0004987067403588561,0.03356595187540368,0.03612333418338021,0.05638873803467193,0.07054517204481577,0,-0.00255738230797653,1,0.03612333418338021,0,1,0.03612333418338021,0,0.03356595187540368
sparse_full_noisy,mid_skew,0,1.2293728232604186,0.4053114757844846,1,0.8066952778347296,0.5539113873357686,0.21480928073834246,0.3878044135751445,0.0,0.0,0.0007230625026130213,0.422677545425689,0.006814174259977879,0.03959170687137766,0.08466949316711218,1,0.41586337116571115,1,0.006814174259977879,1,0,0.422677545425689,0,0.006814174259977879
sparse_full_noisy,mid_skew,1,1.2600326448670152,0.29276956122274206,1,1.2690242008784092,-0.29877253292047856,0.23824825937657426,0.7974235685178815,0.0,0.0,0.0006755356143178997,0.47320546883719294,0.4498721355038596,0.10951800201560612,0.0605934204974396,1,0.023333333333333317,1,0.4498721355038596,1,1,0.4498721355038596,1,0.4498721355038596
sparse_full_noisy,mid_skew,2,1.1359221827561117,0.29499331345660407,1,1.139079173730286,0.3511576025274178,0.130220193664928,0.3708311958154477,0.1512811449485297,0.0002772170389279179,0.0018324625915690637,0.0003667089918395483,0.001279968657524222,0.07392935387540155,0.07584135872607185,0,-0.0009132596656846736,1,0.001279968657524222,0,1,0.001279968657524222,0,0.0003667089918395483
sparse_full_noisy,mid_skew,3,0.8159978208068581,-0.26409282047069704,1,0.8368641696021785,0.5781248105741342,0.17809350409655408,0.3080537296430677,0.0,0.0,0.003592040469957043,0.002466984538012862,0.37737457208377334,0.08736156113965432,0.02264578118724588,0,-0.3749075875457605,1,0.37737457208377334,0,1,0.37737457208377334,0,0.002466984538012862
sparse_full_noisy,high_skew,0,1.2829845787767118,0.5642529042637765,1,0.7739979503880876,-0.4857012718562354,0.2561860534733223,0.5274560070519062,0.0,0.0,0.00200482289653246,0.5089866283886242,0.016288553158195773,0.061226827311635985,0.06210925158560345,1,0.4926980752304284,1,0.016288553158195773,1,0,0.5089866283886242,0,0.016288553158195773
sparse_full_noisy,high_skew,1,1.2258326128740453,-0.6517225495163158,1,1.1818231803150978,-0.15846197246436752,0.16705831415161235,1.0542486096415205,0.0,0.0,0.0033496293418438976,0.012342765892281005,0.02942471476735542,0.05669745127470982,0.08738928860642846,0,-0.017081948875074415,1,0.02942471476735542,0,1,0.02942471476735542,0,0.012342765892281005
