components,mean_relative_error,max_relative_error
1,0.016545332825218275,0.1971207944989105
2,0.0024512255843737256,0.034533709167159664
3,0.00040338540202962983,0.005650083938136488
5,1.2793700102043471e-05,0.00012229252779099396
10,8.766015822134969e-07,8.436090075962617e-06
