family,rho,t,h,w1,w2,w3,S,d12_over_S,d13_over_S,d23_over_S,weighted_interior_sum_over_S,max_equation_residual,rms_equation_residual
balanced,0.1,0.0,1.0,0.2,0.35,0.45,0.75,0.20000000000000004,0.14142135623730953,0.14142135623730953,0.07778174593057237,3.3306690738754696e-16,1.3846913936850747e-16
balanced,0.1,0.0,1.0,0.2,0.35,0.45,1.0,0.2,0.14142135623730953,0.14142135623730953,0.07778174593055771,4.440892098500626e-16,1.911354261325342e-16
balanced,0.1,0.0,1.0,0.2,0.35,0.45,1.5,0.20000000000000004,0.14142135623730953,0.14142135623730953,0.07778174593054436,6.661338147750939e-16,2.6272671962866383e-16
balanced,0.1,0.0,1.0,0.2,0.35,0.45,2.5,0.2,0.1414213562373095,0.1414213562373095,0.07778174593053576,8.881784197001252e-16,5.138572517925682e-16
balanced,0.1,0.0,1.0,0.2,0.35,0.45,4.0,0.2,0.14142135623730953,0.14142135623730953,0.07778174593053024,1.7763568394002505e-15,8.832303120092118e-16
offset,0.14,0.25,1.15,0.2,0.35,0.45,0.75,0.28,0.2377940285204824,0.19221342304844372,0.11483350377110922,2.220446049250313e-16,1.2590688370564726e-16
offset,0.14,0.25,1.15,0.2,0.35,0.45,1.0,0.28,0.23779402852048243,0.19221342304844374,0.11483350377109414,4.440892098500626e-16,2.1531203794391338e-16
offset,0.14,0.25,1.15,0.2,0.35,0.45,1.5,0.28,0.2377940285204824,0.19221342304844372,0.11483350377108038,6.661338147750939e-16,2.6194362781338265e-16
offset,0.14,0.25,1.15,0.2,0.35,0.45,2.5,0.28,0.23779402852048243,0.19221342304844374,0.11483350377106875,1.7763568394002505e-15,5.818529068049337e-16
offset,0.14,0.25,1.15,0.2,0.35,0.45,4.0,0.28,0.23779402852048243,0.19221342304844374,0.1148335037710623,1.7763568394002505e-15,8.185254726425989e-16
skewed,0.16,-0.55,0.85,0.2,0.35,0.45,0.75,0.32,0.15388307249337077,0.28284271247461906,0.12977156386483957,3.3306690738754696e-16,1.3136335981433191e-16
skewed,0.16,-0.55,0.85,0.2,0.35,0.45,1.0,0.32,0.15388307249337077,0.282842712474619,0.12977156386483044,4.440892098500626e-16,2.1210781103223387e-16
skewed,0.16,-0.55,0.85,0.2,0.35,0.45,1.5,0.32,0.15388307249337077,0.28284271247461906,0.12977156386481695,6.661338147750939e-16,2.7068604465899637e-16
skewed,0.16,-0.55,0.85,0.2,0.35,0.45,2.5,0.32,0.15388307249337077,0.282842712474619,0.1297715638648064,1.7763568394002505e-15,5.563437258427861e-16
skewed,0.16,-0.55,0.85,0.2,0.35,0.45,4.0,0.32,0.15388307249337077,0.282842712474619,0.12977156386480007,1.7763568394002505e-15,9.400179667762458e-16
tall,0.18,0.45,1.45,0.2,0.35,0.45,0.75,0.36000000000000004,0.36910973977937783,0.2791451235468748,0.17115040703998577,3.3306690738754696e-16,1.3330383948038742e-16
tall,0.18,0.45,1.45,0.2,0.35,0.45,1.0,0.36,0.36910973977937783,0.2791451235468748,0.1711504070399858,4.440892098500626e-16,2.0014830212433605e-16
tall,0.18,0.45,1.45,0.2,0.35,0.45,1.5,0.36000000000000004,0.36910973977937783,0.2791451235468748,0.17115040703998582,6.661338147750939e-16,2.5478751668559514e-16
tall,0.18,0.45,1.45,0.2,0.35,0.45,2.5,0.36,0.36910973977937783,0.2791451235468748,0.1711504070399858,1.3322676295501878e-15,5.090372231597406e-16
tall,0.18,0.45,1.45,0.2,0.35,0.45,4.0,0.36,0.36910973977937783,0.2791451235468748,0.1711504070399858,1.7763568394002505e-15,8.860170228102397e-16
