dataset,component,explained_variance_ratio,cumulative_explained_variance_ratio
equilateral_weighted_slice,1,0.4993828817277238,0.4993828817277238
equilateral_weighted_slice,2,0.4993828817277234,0.9987657634554472
equilateral_weighted_slice,3,0.0005090972313058847,0.9992748606867531
equilateral_weighted_slice,4,0.0003592640587924459,0.9996341247455456
equilateral_weighted_slice,5,0.0003592640587924445,0.9999933888043381
equilateral_weighted_slice,6,3.469329128987689e-06,0.9999968581334671
equilateral_weighted_slice,7,3.113431632376431e-06,0.9999999715650995
equilateral_weighted_slice,8,1.2923062218181317e-08,0.9999999844881616
random_weighted_family,1,0.6924222096445072,0.6924222096445072
random_weighted_family,2,0.297135946622906,0.9895581562674132
random_weighted_family,3,0.007938623853916336,0.9974967801213295
random_weighted_family,4,0.0013428347639596642,0.9988396148852892
random_weighted_family,5,0.001124269884933117,0.9999638847702222
random_weighted_family,6,2.3702350033847547e-05,0.999987587120256
random_weighted_family,7,1.122995191736189e-05,0.9999988170721734
random_weighted_family,8,6.350134952289426e-07,0.9999994520856686
