condition,alpha_strength_bin,geometry_skew_bin,trial_in_cell,true_alpha,true_t,true_rotation_shift,baseline_geometry_mae,baseline_weight_mae,baseline_alpha_error,baseline_fit_rmse,marginalized_geometry_mae,marginalized_weight_mae,marginalized_alpha_error,marginalized_fit_rmse,conditioned_geometry_mae,conditioned_weight_mae,conditioned_alpha_error,conditioned_fit_rmse,conditioned_seed_rank,conditioned_alpha_shift,oracle_geometry_mae,oracle_weight_mae,oracle_alpha_error,oracle_fit_rmse
full_clean,weak,low_skew,0,1.0645269135102213,0.14527731324234816,26,0.0569905252227747,0.23053618883991286,0.108215714861426,0.010256975364761943,0.0569905252227747,0.23053618883991286,0.108215714861426,0.010256975364761943,0.0569905252227747,0.23053618883991286,0.13154904819475932,0.002791039822796543,1,0.023333333333333317,0.03671788368963578,0.013566051340106642,0.006348006886685242,0.01105853101372128
full_clean,weak,low_skew,1,0.9240737280706707,0.07206209714945078,62,0.025226841022903596,0.02661368344599387,0.007560636335350868,0.004615100618807062,0.025226841022903596,0.02661368344599387,0.007560636335350868,0.004615100618807062,0.025226841022903596,0.02661368344599387,0.007560636335350868,0.004615100618807062,1,0.0,0.025226841022903596,0.02661368344599387,0.007560636335350868,0.004615100618807062
full_clean,weak,low_skew,2,1.071015190355664,0.012913229299493989,45,0.09474673819869184,0.003720794411181246,0.00543504377796733,0.0014147353963904793,0.09474673819869184,0.003720794411181246,0.00543504377796733,0.0014147353963904793,0.09474673819869184,0.003720794411181246,0.00543504377796733,0.0014147353963904793,1,0.0,0.09474673819869184,0.003720794411181246,0.00543504377796733,0.0014147353963904793
full_clean,weak,low_skew,3,0.9068998729073169,0.16192103745327538,34,0.019598317744268023,0.03230895876941311,0.013439228042339657,0.005909369039162661,0.019598317744268023,0.03230895876941311,0.013439228042339657,0.005909369039162661,0.019598317744268023,0.03230895876941311,0.009894105290993771,0.004497837638312301,1,0.023333333333333428,0.019598317744268023,0.03230895876941311,0.013439228042339657,0.005909369039162661
full_clean,weak,mid_skew,0,1.0502612816999781,0.36904206018537106,16,0.02715891830842909,0.07868223086100995,0.023083508562910637,0.007903217785107556,0.02715891830842909,0.07868223086100995,0.023083508562910637,0.007903217785107556,0.02715891830842909,0.07868223086100995,0.0002498247704227907,0.0021110840921194206,1,0.023333333333333428,0.02715891830842909,0.07868223086100995,0.023083508562910637,0.007903217785107556
full_clean,weak,mid_skew,1,1.0694655044184935,0.2795757674361147,53,0.05587583451075576,0.07314056981191494,0.004293615958592234,0.0032224315334369318,0.05587583451075576,0.07314056981191494,0.004293615958592234,0.0032224315334369318,0.05587583451075576,0.07314056981191494,0.004293615958592234,0.0032224315334369318,1,0.0,0.05587583451075576,0.07314056981191494,0.004293615958592234,0.0032224315334369318
full_clean,weak,mid_skew,2,1.0047502337015137,-0.39963614972853334,59,0.05452374734445988,0.3147713980473421,0.009179274878673205,0.007635651351146625,0.05452374734445988,0.3147713980473421,0.009179274878673205,0.007635651351146625,0.05452374734445988,0.3147713980473421,0.014154058454660112,0.0012401892939727726,1,0.023333333333333317,0.06669782829975084,0.04488480553017885,0.02474427576642202,0.01105982568325239
full_clean,weak,mid_skew,3,0.9299314859147715,0.3899049949333613,44,0.13536040445284767,0.3187593690455057,0.1465641963438743,0.007350838064031866,0.13536040445284767,0.3187593690455057,0.1465641963438743,0.007350838064031866,0.03831858021335282,0.021904331582967302,0.005463323358958272,0.0028869540175997972,3,0.14110087298491603,0.05441240251178318,0.06800828156641459,0.021052798715024634,0.009377792939620344
full_clean,weak,high_skew,0,1.0799738445189881,0.6500321655356014,12,0.033119108590340396,0.24229614586435652,0.16080109498835082,0.005002702520003544,0.033119108590340396,0.24229614586435652,0.16080109498835082,0.005002702520003544,0.033119108590340396,0.24229614586435652,0.1608010949883507,0.005002702520003539,1,1.1102230246251565e-16,0.0842067323279725,0.06648924887148981,0.0062147241419023835,0.010398245049796967
full_clean,weak,high_skew,1,1.0912030869388873,0.6283442962175187,36,0.01620358837048531,0.1461580921308854,0.008294838680734218,0.00992311431377107,0.01620358837048531,0.1461580921308854,0.008294838680734218,0.00992311431377107,0.05032711852716187,0.23017470083658073,0.0002513453871049176,0.0032563537474679877,2,0.0080434932936293,0.01620358837048531,0.1461580921308854,0.008294838680734218,0.009923114313771072
