condition,alpha_strength_bin,geometry_skew_bin,count,baseline_alpha_error_mean,marginalized_alpha_error_mean,conditioned_alpha_error_mean,oracle_alpha_error_mean,marginalized_fraction_of_oracle_gain_mean,conditioned_fraction_of_oracle_gain_mean,conditioned_minus_marginalized_oracle_gain,conditioned_vs_marginalized_alpha_ratio
sparse_full_noisy,moderate,high_skew,4,0.07921561007875225,0.08827337636835575,0.19604133608436286,0.02869484342520473,-0.17928798174656116,-2.31242979360859,-2.1331418118620284,0.4502794060247013
sparse_full_noisy,strong,low_skew,4,0.4589473404777036,0.4623592249288502,0.44860922492885014,0.015321596498554163,-0.00769090725110614,0.023303687148821865,0.030994594399928004,1.0306502836676639
sparse_full_noisy,strong,mid_skew,4,0.2156586732615763,0.19759187886363258,0.2053938428760744,0.004552087528417237,0.08558138693399336,0.0486239230758853,-0.03695746385810807,0.9620146159047758
sparse_full_noisy,strong,high_skew,4,0.554371943462239,0.4069710335233096,0.1580148475514682,0.0324688039024113,0.2824296287300495,0.759445701447701,0.47701607271765145,2.5755240082154436
sparse_partial_high_noise,weak,low_skew,4,0.08608776018296546,0.05955053602415983,0.05481022892319756,0.01673367549377608,0.382633903651563,0.4509832607544067,0.06834935710284368,1.0864858110263431
sparse_partial_high_noise,weak,mid_skew,4,0.07428480176541938,0.03267308760506196,0.025885519871068713,0.039822455594369616,1.207454476657585,1.4044105312542152,0.19695605459663024,1.2622148509205513
sparse_partial_high_noise,weak,high_skew,4,0.04230410870411014,0.024656037751149384,0.014876465026270158,0.04743239895291981,nan,nan,nan,1.6573855218702565
sparse_partial_high_noise,moderate,low_skew,4,0.13231181440602188,0.2310823721115714,0.16883993421477392,0.0644543726637192,-1.45555970236313,-0.5383067629851453,0.9172529393779846,1.3686476080808085
sparse_partial_high_noise,moderate,mid_skew,4,0.15894823647680056,0.20595902093882731,0.19220902093882727,0.04413677387468437,-0.4094607227933725,-0.28969916163591886,0.11976156115745362,1.0715367048478757
sparse_partial_high_noise,moderate,high_skew,4,0.2776772463794407,0.30023803210917005,0.21762362610199745,0.07320189952201228,-0.11033499185336997,0.2936961408815507,0.4040311327349207,1.379620574690968
sparse_partial_high_noise,strong,low_skew,4,0.5215367399375856,0.30564406365629493,0.2971914978782484,0.06415146362660312,0.4720149236603373,0.490495111405383,0.018480187745045673,1.028441479108226
sparse_partial_high_noise,strong,mid_skew,4,0.1765741045099188,0.34860103312626645,0.09182045049457799,0.06438471536743154,-1.5333618440319974,0.755451604319715,2.2888134483517124,3.7965511086972
sparse_partial_high_noise,strong,high_skew,4,0.649216708985044,0.5422888073424744,0.42921796210991836,0.09912938521200479,0.1943835042573841,0.3999342238358778,0.2055507195784937,1.2634345605592334
