condition,alpha_strength_bin,geometry_skew_bin,count,baseline_alpha_error_mean,marginalized_alpha_error_mean,conditioned_alpha_error_mean,oracle_alpha_error_mean,marginalized_fraction_of_oracle_gain_mean,conditioned_fraction_of_oracle_gain_mean,conditioned_minus_marginalized_oracle_gain,conditioned_vs_marginalized_alpha_ratio
full_clean,weak,low_skew,4,0.033662655754270965,0.033662655754270965,0.03860970839976782,0.008195728760585774,0.0,-0.19425400821714905,-0.19425400821714905,0.8718702406587819
full_clean,weak,mid_skew,4,0.045780148936012593,0.045780148936012593,0.006040205635658352,0.01829354975073738,0.0,1.4457933858053724,1.4457933858053724,7.579236816996676
full_clean,weak,high_skew,4,0.09513710013957985,0.09513710013957985,0.0931262268161725,0.005740243208567891,0.0,0.022493781016922718,0.022493781016922718,1.0215929861238418
full_clean,moderate,low_skew,4,0.30780522650077,0.30780522650077,0.10885401329172101,0.01653193467683528,0.0,0.6830396702808872,0.6830396702808872,2.827688361621302
full_clean,moderate,mid_skew,4,0.13728523382456767,0.13728523382456767,0.24743929581842147,0.009671656680884239,0.0,-0.8631845016759344,-0.8631845016759344,0.5548238947677566
full_clean,moderate,high_skew,4,0.22573505723761644,0.22573505723761644,0.22573505723761644,0.01445454377046762,0.0,0.0,0.0,1.0
full_clean,strong,low_skew,4,0.40393187293300886,0.40393187293300886,0.4008942838783256,0.005947939762100979,0.0,0.007632441416620758,0.007632441416620758,1.007577032591478
full_clean,strong,mid_skew,4,0.4328440710998787,0.4328440710998787,0.42324937194724893,0.022160575035227836,0.0,0.023362758047426768,0.023362758047426768,1.0226691397284002
full_clean,strong,high_skew,4,0.2169367191416854,0.2169367191416854,0.30882887361814665,0.03870247636070909,0.0,-0.5155695844001379,-0.5155695844001379,0.7024496012957588
full_noisy,weak,low_skew,4,0.07727212024760555,0.07680055098544891,0.0956624498364671,0.01173031778177061,0.007194938869776282,-0.2805893170003664,-0.28778425587014267,0.8028286032475418
full_noisy,weak,mid_skew,4,0.11535072398668583,0.11885917794076825,0.051172275724452515,0.018688665103987062,-0.03629608136466443,0.6639466301883252,0.7002427115529897,2.32272605152035
full_noisy,weak,high_skew,4,0.02882848019359671,0.013753360775685425,0.009202556094649955,0.017992541715675603,1.391214932479339,1.8111882177012895,0.41997328522195043,1.494515288386142
full_noisy,moderate,low_skew,4,0.0914708683963753,0.08827273034533625,0.07116622290586008,0.014098694427039149,0.04133447319583556,0.2624282665052462,0.22109379330941065,1.240373968730994
full_noisy,moderate,mid_skew,4,0.13025267468957086,0.21492666133864383,0.10868930875401053,0.023261795937857516,-0.7914131338763026,0.20154396512249426,0.9929570989987969,1.9774406866923169
full_noisy,moderate,high_skew,4,0.08755333455589828,0.08914115962068989,0.0824113833480993,0.020084179123198403,-0.023534088349089394,0.07621188044851172,0.09974596879760111,1.0816607609189683
full_noisy,strong,low_skew,4,0.3952502149124041,0.3952502149124041,0.38707207011910083,0.035313009893402025,0.0,0.0227210321113415,0.0227210321113415,1.0211282224284146
full_noisy,strong,mid_skew,4,0.014571657694892964,0.014571657694892964,0.0077028397721265185,0.014571657694892964,nan,nan,nan,1.8917254059498858
full_noisy,strong,high_skew,4,0.22652934123783625,0.22652934123783625,0.36576994583759365,0.012062760187145416,0.0,-0.649241499153879,-0.649241499153879,0.6193219093468605
partial_arc_noisy,weak,low_skew,4,0.09495331827639114,0.04371974423884775,0.023104108809084478,0.020735367162804025,0.6903124280422777,0.968083979539462,0.27777155149718435,1.8922930375768166
partial_arc_noisy,weak,mid_skew,4,0.04779627824237351,0.01699005989372085,0.017838865277650273,0.03577423660535553,2.5624780947185295,2.4918739985460623,-0.07060409617246721,0.9524181964088901
partial_arc_noisy,weak,high_skew,4,0.07078712281262634,0.0782913759460131,0.018594475252814296,0.027047772466905956,-0.17156754899358048,1.193265266796967,1.3648328157905474,4.21046439232877
partial_arc_noisy,moderate,low_skew,4,0.05552231014768594,0.09134293604722823,0.055249993070284165,0.054495978833434544,-34.90162036580737,0.26533057465990073,35.16695094046727,1.6532660181699899
partial_arc_noisy,moderate,mid_skew,4,0.08407357811459013,0.014321365746221004,0.02286696701490651,0.018308066226012165,1.0606199262395397,0.9306794601307418,-0.12994046610879795,0.6262905673885478
partial_arc_noisy,moderate,high_skew,4,0.07851964940456113,0.0742539975103006,0.06685298273789442,0.01953733778014749,0.07232086665953798,0.19779941384728147,0.12547854718774348,1.1107058274635673
partial_arc_noisy,strong,low_skew,4,0.22128065822233056,0.22128065822233056,0.22352319775810958,0.022260329313252503,0.0,-0.011267891818244953,-0.011267891818244953,0.989967307383434
partial_arc_noisy,strong,mid_skew,4,0.34831014139207844,0.34831014139207844,0.3656677733462511,0.03621402837908677,0.0,-0.05561630289656994,-0.05561630289656994,0.9525316879982838
partial_arc_noisy,strong,high_skew,4,0.5145055198787243,0.5110936354275777,0.2834228047913145,0.03195203916911846,0.0070704794132441925,0.478874828024445,0.4718043486112008,1.8032904437732111
sparse_full_noisy,weak,low_skew,4,0.09810380452617187,0.06105516245032175,0.08063849578365515,0.029581825857371125,0.5406826071810302,0.2548862289417364,-0.2857963782392938,0.7571465942783273
sparse_full_noisy,weak,mid_skew,4,0.07570057084729728,0.041959087615260654,0.02306846138832566,0.016162459511335603,0.5667207520514074,0.8840070381470304,0.31728628609562304,1.818894069653689
sparse_full_noisy,weak,high_skew,4,0.05270814442475877,0.0778034740590253,0.05687995730063494,0.016726576641117485,-0.6974495882215535,-0.11594305453729711,0.5815065336842563,1.3678539462995833
sparse_full_noisy,moderate,low_skew,4,0.12159158232086753,0.01904568056089695,0.013775097216458254,0.01943589966899678,1.0038198472955209,1.0554134856288864,0.0515936383333655,1.3826167802388714
sparse_full_noisy,moderate,mid_skew,4,0.0706653766846109,0.07400704568360067,0.18853290617043086,0.01565263045113585,-0.0607435408661053,-2.1425494554587066,-2.0818059145926013,0.3925417964792811
