condition,baseline_alpha_error_mean,marginalized_alpha_error_mean,conditioned_alpha_error_mean,oracle_alpha_error_mean,baseline_geometry_mae_mean,marginalized_geometry_mae_mean,conditioned_geometry_mae_mean,oracle_geometry_mae_mean,baseline_weight_mae_mean,marginalized_weight_mae_mean,conditioned_weight_mae_mean,oracle_weight_mae_mean,baseline_fit_rmse_mean,marginalized_fit_rmse_mean,conditioned_fit_rmse_mean,oracle_fit_rmse_mean,oracle_headroom_mean,marginalized_fraction_of_oracle_gain_mean,conditioned_fraction_of_oracle_gain_mean,conditioned_vs_marginalized_alpha_ratio,conditioned_seed_rank_mean,conditioned_alpha_shift_mean
full_clean,0.21101312061859895,0.21101312061859895,0.20586411518256428,0.015522072000679565,0.07316352956398975,0.07316352956398975,0.0814978502338719,0.07225399179311019,0.15723060356175955,0.15723060356175955,0.14795894236587395,0.0914493413532152,0.007529701705620938,0.007529701705620938,0.005314679166083236,0.010409989783170146,0.19549104861791938,0.0,0.02633882969290436,1.0250116705938208,1.3611111111111112,0.0657881043078809
full_noisy,0.1296754906572073,0.13756720609463396,0.1309832280435956,0.018644846873885415,0.06971506601659518,0.07493793849336951,0.07040069406614072,0.07485792835069284,0.14716338598690748,0.1446549598391238,0.14331862035453852,0.11022206057673695,0.008773413903649276,0.008967846386665333,0.006969022210297602,0.010879119486607015,0.11103064378332188,-0.07107691326033815,-0.011778166295607405,1.0502658099771902,1.4166666666666667,0.048097564620851456
partial_arc_noisy,0.16841650849904016,0.15551154604714648,0.11968012978425661,0.02959168399290194,0.07777289513936829,0.0844914164004033,0.07520644650701042,0.06748203353800875,0.15160777256267477,0.13574487357098952,0.12840911861496135,0.10916454372301637,0.014277918786522561,0.01505050828612444,0.01310301363305098,0.014583121916183819,0.13882482450613823,0.09295860807173634,0.35106385971068627,1.2993931935692413,1.5277777777777777,0.04807736375678262
sparse_full_noisy,0.1918847828982197,0.15878510711702817,0.15232824103336226,0.019844080387171587,0.07117644042375272,0.07710734361151149,0.08219218583518356,0.0705130085983679,0.15210278893506168,0.12981553756715603,0.13073468950257894,0.111184279196136,0.015417382631313944,0.014287493878186952,0.01366698651162928,0.012398652646856453,0.1720407025110481,0.19239444676800205,0.2299254844202766,1.0423878464023737,1.4722222222222223,0.07285756636273706
sparse_partial_high_noise,0.2354379468163674,0.22785477674055288,0.16583052283987554,0.057049682256391204,0.08778550644823578,0.1059345185613794,0.09200288032932662,0.0936383143707202,0.16430696828501062,0.1757897725835232,0.15795213356902507,0.14250258022623558,0.0429077458998922,0.03893336371824326,0.03706126150996672,0.029429340428245562,0.1783882645599762,0.04250935505493957,0.3902018114711186,1.3740219402224727,1.5833333333333333,0.09542747630797213
