split,condition,alpha_strength_bin,geometry_skew_bin,count,alpha_point_recoverable_rate,mean_anchored_alpha_log_std,mean_anchored_alpha_bank_log_span,mean_anchored_alpha_abs_error,anchored_beats_best_rate
calibration,sparse_full_noisy,moderate,low_skew,6,1.0,0.12769255940011806,0.06537995187035732,0.12021503965769459,0.3333333333333333
calibration,sparse_full_noisy,moderate,mid_skew,6,0.16666666666666666,0.15869767963148082,0.169449660464136,0.16784344328763687,0.5
calibration,sparse_full_noisy,moderate,high_skew,6,0.6666666666666666,0.16189894920661888,0.101455913576451,0.13648514249649035,0.8333333333333334
calibration,sparse_partial_high_noise,moderate,low_skew,6,0.16666666666666666,0.13755726503389254,0.05025102331851058,0.16534108193627817,0.3333333333333333
calibration,sparse_partial_high_noise,moderate,mid_skew,6,0.5,0.17975103557894653,0.05610829702237153,0.16748093019813085,0.6666666666666666
calibration,sparse_partial_high_noise,moderate,high_skew,6,0.3333333333333333,0.2286040870290346,0.06993444205409527,0.18766008252989594,0.5
holdout,sparse_full_noisy,moderate,low_skew,3,0.6666666666666666,0.14940232595905448,0.09056850160647704,0.13593028389380732,0.6666666666666666
holdout,sparse_full_noisy,moderate,mid_skew,3,0.3333333333333333,0.20040112432502757,0.0878236809393081,0.19641921547688698,0.3333333333333333
holdout,sparse_full_noisy,moderate,high_skew,3,0.6666666666666666,0.10463989140027796,0.06322718489618935,0.12591836661998804,0.3333333333333333
holdout,sparse_partial_high_noise,moderate,low_skew,3,0.3333333333333333,0.15312662097967963,0.05852016847142486,0.19986201894229053,0.6666666666666666
holdout,sparse_partial_high_noise,moderate,mid_skew,3,0.3333333333333333,0.10944229405410283,0.025964171312321715,0.1831935666972233,0.6666666666666666
holdout,sparse_partial_high_noise,moderate,high_skew,3,0.0,0.16595301754976172,0.0452455492426867,0.22094397250437878,1.0
confirmation,sparse_full_noisy,moderate,low_skew,3,0.3333333333333333,0.13734760623954792,0.11149916652832292,0.1526982070425109,0.3333333333333333
confirmation,sparse_full_noisy,moderate,mid_skew,3,0.6666666666666666,0.13115231410281325,0.0582320151541012,0.14066519273524788,0.6666666666666666
confirmation,sparse_full_noisy,moderate,high_skew,3,0.6666666666666666,0.12519368866960642,0.0869722265497596,0.12626141287055853,0.3333333333333333
confirmation,sparse_partial_high_noise,moderate,low_skew,3,0.3333333333333333,0.15192141735042183,0.0628090828344972,0.15531840114909773,0.3333333333333333
confirmation,sparse_partial_high_noise,moderate,mid_skew,3,0.3333333333333333,0.16482872705162777,0.0398743571047783,0.15755360202271343,0.0
confirmation,sparse_partial_high_noise,moderate,high_skew,3,0.3333333333333333,0.21163137767109874,0.061326289781282316,0.18010213052197158,0.3333333333333333
