split,condition,count,alpha_point_recoverable_rate,mean_anchored_alpha_log_std,mean_anchored_alpha_bank_log_span,mean_anchored_alpha_abs_error,anchored_beats_best_rate
calibration,sparse_full_noisy,18,0.6111111111111112,0.14942972941273924,0.11209517530364815,0.1415145418139406,0.5555555555555556
calibration,sparse_partial_high_noise,18,0.3333333333333333,0.1819707958806246,0.05876458746499247,0.17349403155476834,0.5
holdout,sparse_full_noisy,9,0.5555555555555556,0.15148111389478666,0.08053978914732483,0.15275595533022746,0.4444444444444444
holdout,sparse_partial_high_noise,9,0.2222222222222222,0.14284064419451473,0.043243296342144424,0.2013331860479642,0.7777777777777778
confirmation,sparse_full_noisy,9,0.5555555555555556,0.1312312030039892,0.08556780274406124,0.13987493754943908,0.4444444444444444
confirmation,sparse_partial_high_noise,9,0.3333333333333333,0.17612717402438274,0.054669909906852596,0.16432471123126094,0.2222222222222222
