split,count,alpha_point_recoverable_rate,mean_anchored_alpha_log_std,mean_anchored_alpha_bank_log_span,mean_best_alpha_bank_log_span,mean_anchored_alpha_abs_error,mean_best_alpha_abs_error,mean_alpha_abs_error_gain,anchored_beats_best_rate,anchored_std_vs_unrecoverable_corr,ambiguity_ratio_vs_unrecoverable_corr
calibration,36,0.4722222222222222,0.16570026264668192,0.0854298813843203,0.3096697117165385,0.15750428668435446,0.16607718051673362,0.008572893832379158,0.5277777777777778,0.3457417065892881,0.38435745670338195
holdout,18,0.3888888888888889,0.1471608790446507,0.06189154274473463,0.2592491375040042,0.17704457068909585,0.19151494895954466,0.014470378270448852,0.6111111111111112,0.4145952868349355,0.3428066225726945
confirmation,18,0.4444444444444444,0.153679188514186,0.07011885632545693,0.31857998138267907,0.15209982439035,0.13262535268343842,-0.019474471706911592,0.3333333333333333,0.49584328439037517,0.41521579808587816
