split,observation_seed,condition,geometry_skew_bin,true_alpha,true_t,true_rotation_shift,mean_best_entropy,mean_candidate_count,mean_alpha_log_span_set,mean_geometry_span_norm_set,mean_ambiguity_ratio,mean_anchored_alpha_log_std,mean_anchored_alpha_log_span,mean_anchored_effective_count,best_alpha_bank_log_span,anchored_alpha_bank_log_span,best_alpha_abs_error_mean,anchored_alpha_abs_error_mean,alpha_abs_error_gain,anchored_beats_best_flag,alpha_point_recoverable_flag,alpha_point_unrecoverable_flag
calibration,20260410,sparse_full_noisy,low_skew,1.147529461864347,0.10972497877703384,47,0.4390601229775708,13.0,0.30920622157480915,0.6824064842475962,0.4575974799688913,0.09312577658729795,0.2642634571768364,7.630167324541413,0.03289864364892474,0.04985288483848062,0.05861454560972086,0.09625509963193397,-0.03764055402221311,0,1,0
calibration,20260410,sparse_full_noisy,mid_skew,1.2255287217844368,-0.42211193196284297,21,0.5234832982511297,25.4,0.4337581666402146,0.6867965643713807,0.6341431850335879,0.17094171862964366,0.3933886356227506,14.92930978402006,0.37847326633874157,0.12639809045304629,0.25019646133522555,0.2478660690132178,0.0023303923220077405,1,0,1
calibration,20260410,sparse_full_noisy,high_skew,0.8719494631553358,0.46748272124058204,4,0.588702559478094,34.2,0.3833291324029437,0.7699462056848045,0.5047247380572231,0.13540236480794068,0.3265920613452805,20.217379160289276,0.30090300974062106,0.05948131624578326,0.11671947031534538,0.11000380794971251,0.0067156623656328684,1,1,0
calibration,20260410,sparse_partial_high_noise,low_skew,1.1217890161161423,0.1451518868676587,53,0.5782922416055778,83.2,0.5668153830038625,0.9192895345895782,0.6170786987485253,0.18143286064369984,0.4530325959445173,44.03877133577166,0.2628464709036928,0.09140456653705537,0.24576763700074125,0.11609223077850839,0.12967540622223286,1,1,0
calibration,20260410,sparse_partial_high_noise,mid_skew,1.1386629736527398,-0.2053148391190289,6,0.6672410039975123,112.0,0.546755526774937,0.918766229420792,0.5956417164724126,0.1643109111335594,0.42239312113414346,59.75067057411851,0.3406810018691099,0.060781029848327804,0.19153328531384217,0.11641670944663629,0.07511657586720588,1,1,0
calibration,20260410,sparse_partial_high_noise,high_skew,1.2163133874347725,-0.6622995711727697,22,0.7118870531237919,132.0,0.5695222580146424,0.9261441588664436,0.61624679384921,0.1481779001200775,0.39270232232857294,70.92967125560563,0.27357847213318653,0.03722558463594507,0.13055005179749218,0.2014503430587152,-0.07090029126122302,0,0,1
calibration,20260411,sparse_full_noisy,low_skew,1.1404088967626327,0.02496537790705635,55,0.4828369474341513,15.8,0.2808480655303154,0.7149403647758235,0.4063526204598866,0.09927855499099107,0.25556419538334274,9.058487082105522,0.2679016628115991,0.0701525795812741,0.20443062050220936,0.11260372947023059,0.09182689103197877,1,1,0
calibration,20260411,sparse_full_noisy,mid_skew,1.1623349409627526,0.2213605062322707,61,0.36897420854284996,27.0,0.42975237094983765,0.8137281379460584,0.5300069481997214,0.16243643067155494,0.38878760884702185,14.913423413231552,0.3364824065294857,0.09674982789635059,0.07705198687474668,0.1541182912118591,-0.07706630433711242,0,0,1
calibration,20260411,sparse_full_noisy,high_skew,0.8975141620964918,-0.45991871872541895,58,0.49392640054037223,32.2,0.34562329274178755,0.8345099303788235,0.41498702086074923,0.11991441582018056,0.2840149960176511,17.589211523689777,0.2626752108257139,0.06738394566967959,0.09694174699214612,0.08213440337307958,0.014807343619066549,1,1,0
calibration,20260411,sparse_partial_high_noise,low_skew,1.159371427099871,0.14686963596079392,15,0.9553576451522249,60.2,0.27749635214127055,0.8633458012861934,0.3219125215475749,0.0705649669644581,0.19449804218866495,32.836761432872684,0.07503767572287567,0.017608999606558474,0.1605744654315958,0.16356811073593566,-0.002993645304339876,0,0,1
calibration,20260411,sparse_partial_high_noise,mid_skew,1.2226140284530431,0.2578962401373784,21,0.6110586613975559,101.2,0.6166075956607922,0.9087758049353483,0.6789673368250293,0.20383067149766315,0.4921006420506896,55.515560062945745,0.41983922125673157,0.08990412823813049,0.16927901325562114,0.195642379718776,-0.026363366463154847,0,0,1
calibration,20260411,sparse_partial_high_noise,high_skew,1.2745425961678112,0.6954212915285561,18,0.5434076445960477,99.2,0.7573916103896113,0.8853329295449204,0.8551995734188637,0.2668587225620286,0.6183335227148614,55.09361908742805,0.522064288657915,0.06796639939729492,0.2139013500220753,0.23519459310286353,-0.021293243080788227,0,0,1
calibration,20260412,sparse_full_noisy,low_skew,0.8962159817208718,0.07936317382920971,18,0.7021156599643512,25.2,0.27720871607391284,0.7888910223629475,0.35267886389411907,0.09905140935806939,0.24778531284304733,15.936499487786296,0.21602965189652829,0.02842712930445641,0.08768556665631726,0.10250530818957553,-0.014819741533258268,0,1,0
calibration,20260412,sparse_full_noisy,mid_skew,0.8301997466221273,-0.3456479674719034,7,0.3929704904254173,29.2,0.45282980701706377,0.7672540571503417,0.5925019060735732,0.1740283196561224,0.401482186576929,16.96924297943345,0.36228941571536444,0.16222769801550135,0.2193085553391319,0.1512655326092937,0.0680430227298382,1,0,1
calibration,20260412,sparse_full_noisy,high_skew,1.1321343287894376,0.5160498421535533,31,0.47181021416206537,27.6,0.3140842863099578,0.7825370759543777,0.40364508086455525,0.11692322880612305,0.26955794616307105,14.477650292790793,0.22474755400140514,0.0403342127090454,0.14850046992147234,0.13191957537293364,0.0165808945485387,1,1,0
