condition,geometry_mae_mean,geometry_mae_p95,weight_mae_mean,weight_mae_p95,weighted_fit_rmse_mean,equal_weight_baseline_fit_rmse_mean,fit_improvement_factor_mean
full_clean,0.06636020807242145,0.14787565686129886,0.09961589504883935,0.1969897803904009,0.002944344872478687,0.01320494125766472,5.525478092801579
full_noisy,0.07503339766857398,0.1707141086719578,0.09324257043112855,0.2072175783201945,0.003123076527096767,0.012232158692167601,4.877916927970136
partial_arc_noisy,0.06228008068753412,0.16009314686422565,0.0860774477740788,0.18032876054728333,0.004279879422164177,0.015236950144182356,4.216735304534975
sparse_full_noisy,0.07734241410220079,0.18523818245850374,0.09814567646495082,0.24509318139786437,0.0064296356641700605,0.01404317666726535,2.9858487214657776
sparse_partial_high_noise,0.0859501201128164,0.20045535816989551,0.1248384081307328,0.2716199450413322,0.015177472346304274,0.018457377537993917,1.877072393448215
