split,condition,count,point_output_rate,alpha_point_recoverable_rate,gate_precision,mean_refined_alpha_output_abs_error_open,mean_refined_alpha_bank_log_span_open,refined_beats_anchored_rate_open,refined_beats_best_rate_open
holdout,sparse_partial_high_noise,9,0.2222222222222222,0.3333333333333333,0.5,0.14988131639276553,0.07161220002492184,0.0,0.5
confirmation,sparse_partial_high_noise,9,0.3333333333333333,0.5555555555555556,1.0,0.20127265379647985,0.16694840421709886,0.6666666666666666,0.6666666666666666
