split,observation_seed,bank_seed,condition,geometry_skew_bin,true_alpha,true_t,true_rotation_shift,candidate_count,best_entropy,best_alpha,best_alpha_abs_error,anchored_alpha,anchored_alpha_abs_error,anchored_alpha_log_std,anchored_alpha_log_span,anchored_effective_count,local_consensus_rho12,local_consensus_rho13,local_consensus_rho23,trial_backbone_rho12,trial_backbone_rho13,trial_backbone_rho23,gate_open_flag,refined_alpha,refined_alpha_abs_error,refined_effective_count,refined_seed_count
holdout,20260422,20260324,sparse_partial_high_noise,low_skew,0.8454209249936677,0.16946780190594682,35,227,nan,1.002191449013505,0.12045706676374712,1.0101419470244615,0.1284075647747035,0.04857520789811209,0.12164441501955656,137.8537581990408,0.2471518323380708,0.16726026616751424,0.19712186069934814,0.24884589769006574,0.16106089451164388,0.2012262369157647,0,nan,nan,nan,0
holdout,20260422,20260325,sparse_partial_high_noise,low_skew,0.8454209249936677,0.16946780190594682,35,228,nan,1.0069981484272497,0.1252637661774917,1.005667720141143,0.12393333789138505,0.05405589998242893,0.14515036208363996,115.93122390937998,0.25508641694156414,0.16010704533192502,0.20375398607800901,0.24884589769006574,0.16106089451164388,0.2012262369157647,0,nan,nan,nan,0
holdout,20260422,20260326,sparse_partial_high_noise,low_skew,0.8454209249936677,0.16946780190594682,35,246,nan,0.9872250881769656,0.10549070592720766,1.013299881859824,0.13156549961006603,0.0427876983611649,0.11490111629355004,135.6020577993019,0.24429944379056232,0.15581537203549237,0.2028028639699369,0.24884589769006574,0.16106089451164388,0.2012262369157647,0,nan,nan,nan,0
holdout,20260422,20260324,sparse_partial_high_noise,mid_skew,1.1375779426247343,-0.4219389980466032,15,251,nan,1.0475164536881982,0.14582364491625377,0.9999395377307683,0.19340056087368374,0.06705745618930183,0.17625061011710952,135.2399594539922,0.24427636692561816,0.1451503550472474,0.19677646294682136,0.2468252189080946,0.1495334590867272,0.20087106107339792,0,nan,nan,nan,0
holdout,20260422,20260325,sparse_partial_high_noise,mid_skew,1.1375779426247343,-0.4219389980466032,15,234,nan,0.9483504587162965,0.24498963988815547,1.0261354443441015,0.16720465426035047,0.059914762813406186,0.15618455761967504,153.15854049279065,0.24930375104097494,0.1459624062524921,0.20261259905038845,0.2468252189080946,0.1495334590867272,0.20087106107339792,0,nan,nan,nan,0
holdout,20260422,20260326,sparse_partial_high_noise,mid_skew,1.1375779426247343,-0.4219389980466032,15,248,nan,0.9588053800545078,0.23453471854994423,1.0298365278393122,0.16350357076513977,0.055696045181810025,0.14361455376831728,158.295633086709,0.2468955387576907,0.157487615960442,0.20322412122298392,0.2468252189080946,0.1495334590867272,0.20087106107339792,0,nan,nan,nan,0
holdout,20260422,20260324,sparse_partial_high_noise,high_skew,0.8791076466259337,0.6874423450019049,63,215,nan,0.8630666043746121,0.057224862618667216,1.0173387165556134,0.21149697479966845,0.12454330393212647,0.307766611961089,121.8761997203884,0.28325174335603165,0.17309922772531575,0.22866584041239643,0.2807857407513453,0.1740449893952735,0.22524067289308572,0,nan,nan,nan,0
holdout,20260422,20260325,sparse_partial_high_noise,high_skew,0.8791076466259337,0.6874423450019049,63,230,nan,1.1567955309629039,0.35095378920695897,1.0698187414471578,0.2639769996912129,0.11431605110047513,0.302923637789694,132.67838255664583,0.26906799614125365,0.16339866176728227,0.21224579284952166,0.2807857407513453,0.1740449893952735,0.22524067289308572,0,nan,nan,nan,0
holdout,20260422,20260326,sparse_partial_high_noise,high_skew,0.8791076466259337,0.6874423450019049,63,223,nan,0.8599478697621822,0.054106128006237264,1.0354225012748628,0.22958075951891788,0.12495232092588898,0.31425452344085947,128.1926576963741,0.2900374827567507,0.18563707869322252,0.2348103854173391,0.2807857407513453,0.1740449893952735,0.22524067289308572,0,nan,nan,nan,0
holdout,20260423,20260324,sparse_partial_high_noise,low_skew,1.1624723636075858,-0.1594309746744751,38,214,nan,0.7929420805316097,0.4910606715055662,1.1508607587622326,0.13314199327494336,0.1699340558604734,0.46725189641251696,111.97970894117464,0.2613253707502724,0.1603814779833177,0.21042449128843782,0.26962845683733705,0.16429279619993278,0.21789127978405945,1,1.0132806366972154,0.14919172691037041,2.931802469759939,3
