split,count,point_output_count,point_output_rate,alpha_point_recoverable_rate,gate_balanced_accuracy,gate_precision,gate_reject_unrecoverable_rate,mean_best_alpha_output_abs_error_open,mean_anchored_alpha_output_abs_error_open,mean_refined_alpha_output_abs_error_open,mean_best_alpha_bank_log_span_open,mean_anchored_alpha_bank_log_span_open,mean_refined_alpha_bank_log_span_open,refined_beats_anchored_rate_open,refined_beats_best_rate_open
holdout,9,2,0.2222222222222222,0.3333333333333333,0.5833333333333334,0.5,0.8333333333333334,0.15351040318301395,0.14165280359237054,0.06469706610358017,0.05964211541951651,0.018510519371539094,0.09533486552945455,1.0,1.0
confirmation,9,2,0.2222222222222222,0.5555555555555556,0.7,1.0,1.0,0.09961799776650648,0.11111940969421397,0.038067742829979045,0.11584442756196761,0.02095550854337122,0.1356931014340637,1.0,1.0
