variant_name,reference_bank_size,top_k_seeds,block_name,block_role,bank_seed,observation_seed,condition,geometry_skew_bin,true_rho,true_t,true_h,true_w1,true_w2,true_w3,true_alpha,true_rotation_shift,observed_count,temperature,support_rho,support_t,support_h,support_w1,support_w2,support_w3,support_alpha,support_score,support_entropy,support_cv_score,joint_rho,joint_t,joint_h,joint_w1,joint_w2,joint_w3,joint_alpha,joint_score,joint_entropy,joint_cv_score,support_alpha_error,support_geometry_error,support_weight_error,support_fit_rmse,support_choose_family,joint_alpha_error,joint_geometry_error,joint_weight_error,joint_fit_rmse,joint_seed_rank,oracle_pose_alpha_error,oracle_pose_geometry_error,oracle_pose_weight_error,oracle_pose_fit_rmse
baseline,300.0,3.0,confirmation_block,confirmation,20260328.0,20260425.0,sparse_full_noisy,low_skew,0.18284587140198932,0.16422008158074786,0.5625742070869588,0.26233529658987353,0.5321051843276661,0.2055595190824604,1.1796315323071715,57.0,12.0,0.0004,0.17713264526722505,-0.22394128381719303,1.0370112456435399,0.2724586299813862,0.51024424532727,0.21729712469134377,1.208185326102,0.0014597709088392352,0.30998991376470564,0.00023717799923522346,0.1811813555361632,-0.6177994396253879,1.2712121907373466,0.2132872858291376,0.5573657108802795,0.22934700329058288,1.2071596164823375,0.00144466617758163,0.30926788594770177,0.00010224305437297072,0.028553793794828364,0.03945337109992388,0.014573959333597378,0.01629978935280839,1.0,0.027528084175165946,0.06532507370444258,0.032698673840490626,0.01691615463663662,2.0,0.028553793794828364,0.028844157765369933,0.014573959333597378,0.01018091182638639
baseline,300.0,3.0,confirmation_block,confirmation,20260328.0,20260425.0,sparse_full_noisy,mid_skew,0.08100714383259111,0.4398380556486153,0.6472824701788658,0.4520638934518639,0.25104079986475314,0.29689530668338293,1.1188307723106752,28.0,12.0,0.0004,0.06908234360526375,0.09881753046884516,1.4194127474421818,0.34213570417153705,0.30523218291876214,0.3526321129097008,1.1316154634034183,0.0010960539357913416,0.6545261050520941,0.0003582506420867754,0.09902912776825892,0.013025266426506608,0.99331217660303,0.4252575278948205,0.4015942425827708,0.17314822952240866,0.8947157884324276,0.0011007266267751754,0.6657943318198049,0.0004344586908967906,0.012784691092743161,0.024844310537566153,0.07328545952021791,0.010215794244741935,0.0,0.22411498387824758,0.03932907696930112,0.10036896181201177,0.009003354433285763,3.0,0.03021077353353263,0.05628254973338074,0.02811825129248996,0.010704895886969807
baseline,300.0,3.0,confirmation_block,confirmation,20260328.0,20260425.0,sparse_full_noisy,high_skew,0.07804014957212703,-0.45060961323439513,1.042859014426541,0.07694616094414566,0.4360135560139483,0.48704028304190605,0.8339713012585691,42.0,12.0,0.0004,0.14773290339132347,0.025591483313587182,1.3170731898408226,0.5449118589093923,0.20774938552893754,0.24733875556167015,1.1432345922950053,0.0016825178885288697,0.47113628391515383,0.0008812772861575143,0.14386348668006033,-0.0957445950767443,1.45,0.5674858864152271,0.1769168430088467,0.2555972705759262,1.1509335512702585,0.0016630986037360236,0.46008242028768653,0.0006265908059184153,0.30926329103643624,0.1322063603366964,0.15980101832015725,0.03446283673499651,1.0,0.31696225001168943,0.1358475133743227,0.1542953416439866,0.025278093707255353,2.0,0.008862464617689136,0.1327959964610177,0.07475356699981146,0.010684715999349188
baseline,300.0,3.0,confirmation_block,confirmation,20260328.0,20260425.0,sparse_partial_high_noise,low_skew,0.0734787869456708,0.03523116428113053,1.410774578298094,0.0842710903312287,0.06573450237377862,0.8499944072949926,1.1495547960554364,17.0,10.0,0.0009,0.21660316098182616,-0.2803479079487533,0.821819129996861,0.6267609366088734,0.23215652365927142,0.14108253973185514,0.9073033592289538,0.0019464684888339718,0.8352252246599096,0.0012934599807031184,0.21554116098182616,-0.2883129079487533,0.751959129996861,0.6534010488335202,0.22648137973799073,0.12011757142848903,0.8843815236721819,0.0019685497142206154,0.8038197444533525,0.0010924655936390794,0.24225143682648265,0.19941390454195315,0.4726079117087583,0.061153844268441046,0.0,0.2651732723832545,0.19154941716081178,0.48658455724433575,0.05032194292115634,2.0,0.0547413871232143,0.1318554849590751,0.39838981116665123,0.01956910470274024
baseline,300.0,3.0,confirmation_block,confirmation,20260328.0,20260425.0,sparse_partial_high_noise,mid_skew,0.08159821982012695,0.41077650719586833,1.1796459255510037,0.3173758710783287,0.1419423462740883,0.5406817826475829,1.1089816388146323,48.0,10.0,0.0009,0.19973527124749116,0.2738296773014996,1.1831270455233618,0.33753953767892625,0.5514762400535723,0.11098422226750138,1.099855679859386,0.0020205770716529656,0.8109013315969149,0.0010525959858941427,0.21073918580587347,-0.4783552345889775,0.9353041402775019,0.35460797910685576,0.6059513782061066,0.03944064268703773,1.1219540351782284,0.00198362791031569,0.7805644281305325,0.0007698767526523205,0.009125958955246372,0.20104526700506486,0.2864650402533877,0.06907705298497872,0.0,0.01297239636359615,0.19832626756016303,0.3341607599736968,0.05277383097283119,1.0,0.027925383729255904,0.1362746140843426,0.052170312198838546,0.014432699188090887
baseline,300.0,3.0,confirmation_block,confirmation,20260328.0,20260425.0,sparse_partial_high_noise,high_skew,0.11765847393504661,-0.5313299359465913,1.0546169673532761,0.16681889281551474,0.10401965392069353,0.7291614532637917,1.2826531927841773,24.0,10.0,0.0009,0.19256337248314068,0.0033642432432790855,1.3999513683009475,0.5260641919150977,0.43295069530446306,0.04098511278043926,1.3659522466828022,0.0034122890176255328,0.5378471755824867,0.002058286691797782,0.19362537248314068,0.043999243243279085,1.3916913683009473,0.46437446794541476,0.5017700165917771,0.03385551546280818,1.338342948474952,0.003365665823066399,0.5550025876734093,0.0017177259939614832,0.08329905389862491,0.1526127913910217,0.4587842269889017,0.09174926953216117,0.0,0.05568975569077472,0.15371991401586363,0.4635372918673224,0.06970833473906751,2.0,0.0027517612236716005,0.03581997227519811,0.1393576891833588,0.02345502858487515
baseline,300.0,3.0,confirmation_block,confirmation,20260328.0,20260426.0,sparse_full_noisy,low_skew,0.17631211927908333,0.04212600469119543,1.3570898254718862,0.5952776473447348,0.03074110312268378,0.37398124953258144,1.2103793013687527,42.0,12.0,0.0004,0.1986688549346106,0.3317630916843184,0.6649009509700985,0.3750313113952431,0.14827871466101067,0.4766899739437463,1.180946211475853,0.0017682087350244134,0.3593214481345269,0.0010703920654504737,0.21148917900238132,-0.08053268141646361,1.45,0.7035539804647543,0.09709833424029544,0.19934768529495028,1.1995282540778927,0.0017617570646426702,0.35553590409530683,0.0006123065992116033,0.02943308989289961,0.05208722445707734,0.14683089063299448,0.010515194259699951,1.0,0.01085104729086006,0.07378739155021152,0.11642237615842077,0.012768904482263577,3.0,0.01085104729086006,0.02216477463464152,0.2258234004954726,0.03080410272942392
baseline,300.0,3.0,confirmation_block,confirmation,20260328.0,20260426.0,sparse_full_noisy,mid_skew,0.0805817908336638,-0.35023869377937256,1.434714034875273,0.48534485612642236,0.30064676709461613,0.21400837677896145,1.1128276435635405,59.0,12.0,0.0004,0.06,-0.5383826803041387,1.3492694402731045,0.3589535545150654,0.2942989057411265,0.3467475397438081,0.8699765042035758,0.0011660408773707352,0.5884089208598335,0.00022085608969317833,0.06726,-0.31738268030413874,1.45,0.4478739136863225,0.11948187445744664,0.4326442118562308,0.8699765042035758,0.0011662830681462668,0.6017682169523411,0.00027968296731228654,0.24285113935996472,0.039500120502885934,0.08849277530989776,0.022418459990288377,1.0,0.24285113935996472,0.024252312566718105,0.14575722338484623,0.0238562840022724,2.0,0.0856172797104735,0.07234855065594667,0.07775499298762274,0.03353488291779546
baseline,300.0,3.0,confirmation_block,confirmation,20260328.0,20260426.0,sparse_full_noisy,high_skew,0.16575451271893735,-0.5769045728103854,0.9732240582802646,0.19611230814001304,0.14212121981352432,0.6617664720464627,0.8937364337370768,17.0,12.0,0.0004,0.06,-0.3708904407332502,1.0417751494912204,0.253400400153073,0.44520994531543606,0.30138965453149097,1.078798624180127,0.0010712940459617153,0.7388681347226241,0.00042080161180179493,0.06726,-0.3408904407332502,1.0037751494912204,0.253400400153073,0.445209945315436,0.301389654531491,1.078798624180127,0.0010712761709956587,0.7380496053620262,0.0004143054818279019,0.18506219044305028,0.17274433499571953,0.24025121167664784,0.02527557916136412,1.0,0.18506219044305028,0.16220485855337222,0.24025121167664776,0.025122053965296386,1.0,0.035858498472820965,0.08428226189472583,0.07886322943706768,0.014108996392321287
baseline,300.0,3.0,confirmation_block,confirmation,20260328.0,20260426.0,sparse_partial_high_noise,low_skew,0.17142840534914505,-0.09721380364975842,0.9847080534832247,0.30319898256188665,0.5103638550014674,0.186437162436646,0.8367153816937006,58.0,10.0,0.0009,0.2076510134467046,-0.11333281462081495,0.5963269304346168,0.5597118092871144,0.314383832238294,0.12590435847459158,0.8848352131582774,0.0021982426490793306,0.7914712646271038,0.0016005853055467856,0.2094330134467046,-0.04596781462081495,0.55,0.5976804567929366,0.3275035412545083,0.07481600195255511,0.8632195986819556,0.002201363183544705,0.7635716090631725,0.0014366283738247465,0.04811983146457677,0.045513659360264115,0.04035520264136958,0.03131376438205485,0.0,0.026504216988255003,0.03886599604834989,0.0744141069893939,0.019313416516338933,1.0,0.012531195213032142,0.07134957359318501,0.07808558978449893,0.006002150448266711
