variant_name,reference_bank_size,top_k_seeds,block_name,block_role,bank_seed,observation_seed,condition,geometry_skew_bin,true_rho,true_t,true_h,true_w1,true_w2,true_w3,true_alpha,true_rotation_shift,observed_count,temperature,support_rho,support_t,support_h,support_w1,support_w2,support_w3,support_alpha,support_score,support_entropy,support_cv_score,joint_rho,joint_t,joint_h,joint_w1,joint_w2,joint_w3,joint_alpha,joint_score,joint_entropy,joint_cv_score,support_alpha_error,support_geometry_error,support_weight_error,support_fit_rmse,support_choose_family,joint_alpha_error,joint_geometry_error,joint_weight_error,joint_fit_rmse,joint_seed_rank,oracle_pose_alpha_error,oracle_pose_geometry_error,oracle_pose_weight_error,oracle_pose_fit_rmse
baseline,300.0,3.0,calibration_block_2,calibration,20260326.0,20260416.0,sparse_full_noisy,low_skew,0.08458751638540861,0.03544723703524339,1.427803049034433,0.06505907534404884,0.3959624261186149,0.5389784985373363,0.843420762150945,0.0,12.0,0.0004,0.17362049056008466,-0.48525163765214235,0.6771645390179578,0.383228762362995,0.2809939910204573,0.3357772466165476,0.8448665270003112,0.001521317322858666,0.41068895223867924,0.00042363146822898884,0.14356049056008469,-0.39970163765214234,0.8407645390179579,0.25377678300248674,0.2673092577262086,0.47891395927130465,0.8448665270003112,0.0015314801160338696,0.405563874469213,0.00040953355235599586,0.0014457648493662045,0.1047378828366557,0.143956610450939,0.005984086420057873,1.0,0.0014457648493662045,0.06916104188446102,0.12581180510562526,0.0036472414892042087,1.0,0.0014457648493662045,0.09425016806889402,0.143956610450939,0.0035975435612494713
baseline,300.0,3.0,calibration_block_2,calibration,20260326.0,20260416.0,sparse_full_noisy,mid_skew,0.08432652403230634,-0.41798272193138025,0.8387113564671725,0.6323863659988354,0.17959836033150034,0.1880152736696643,0.8914591742959608,2.0,12.0,0.0004,0.08073847032341495,-0.2621778555734969,0.7100486033790775,0.2021222870699969,0.6347915875026019,0.1630861254274012,0.8971892419565873,0.0012214156798226296,0.5377545787607925,0.0005154224031316341,0.16248473363898375,0.54655,0.55,0.14578460938070123,0.7816477799776765,0.0725676106416222,0.8905927471574244,0.0012244524875956284,0.5275613026476992,0.0005117150463005906,0.005730067660626559,0.03142112994667847,0.01661943216150874,0.008330513190692649,0.0,0.000866427138536352,0.10461231510014128,0.09950760931922746,0.007880461930435853,1.0,0.001539790880574765,0.06926059974147349,0.15282725805490155,0.014144746481981612
baseline,300.0,3.0,calibration_block_2,calibration,20260326.0,20260416.0,sparse_full_noisy,high_skew,0.10192995762896874,0.6727910454320641,1.028874316883383,0.37715557823425244,0.3052640586389587,0.3175803631267889,0.7919341547849998,59.0,12.0,0.0004,0.14466630050637044,0.21246426137261065,1.4498392474364206,0.39855380296515175,0.2992432011193292,0.302202995915519,1.250826014252882,0.001816514758326764,0.45394379438262533,0.000606983509026191,0.06,-0.2877485350985862,1.1398947288231982,0.19872756188885596,0.4245981599748655,0.3766742781362785,1.2721045200738916,0.0018286248170411756,0.4581179148273589,0.0006995506378823627,0.45889185946788213,0.09578455156386008,0.01426548315393289,0.013420763402166651,0.0,0.4801703652888918,0.07008411864799662,0.07102433116673515,0.013805330220302404,2.0,0.02777213764084563,0.038377213395472544,0.09771182672603086,0.020179500928328542
baseline,300.0,3.0,calibration_block_2,calibration,20260326.0,20260416.0,sparse_partial_high_noise,low_skew,0.11441468318091866,-0.011978891607849106,0.9724423795276715,0.5828243652719066,0.03150714491481994,0.38566848981327345,1.251449993747517,32.0,10.0,0.0009,0.1996181071319903,-0.6744629608090645,1.0467882379073743,0.3785755959389099,0.11605789298537755,0.5053665110757126,0.7838734223440996,0.0028623831832457662,0.5944443544234972,0.0012201428402368055,0.2006801071319903,-0.5907629608090645,0.9769282379073742,0.30621491443154775,0.09387466638329725,0.599910419185155,0.7838734223440996,0.0028543965491883436,0.5931362585267542,0.0011541150792282505,0.46757657140341735,0.15474603293321756,0.13616584622199784,0.018809923634843524,0.0,0.46757657140341735,0.14684136063683173,0.1844063005602392,0.018953582831374337,1.0,0.0019283296906984493,0.13886499440384767,0.21098958638588913,0.01253540076088362
baseline,300.0,3.0,calibration_block_2,calibration,20260326.0,20260416.0,sparse_partial_high_noise,mid_skew,0.08402531619936499,-0.44764907761156186,0.5937668244299665,0.20332138263600477,0.5259236527327809,0.2707549646312144,1.2419793681897893,12.0,10.0,0.0009,0.16631309091363916,-0.5992370100405223,0.6476193399367037,0.4534976349002287,0.32294824182224174,0.2235541232775296,0.7718817685577894,0.003559372571808891,0.5241415273351828,0.0033211444630739943,0.17529509091363915,-0.6072020100405224,0.6334793399367039,0.25054722091777804,0.5761680798571719,0.17328469922505008,0.7718817685577894,0.0035314192767173735,0.532784075199638,0.003187884410742684,0.4700975996319998,0.12940009157832738,0.07975123945749131,0.046032846813124716,0.0,0.4700975996319998,0.1388051498030393,0.06498017693744287,0.06236780650111721,1.0,0.025194312403665098,0.023125156797848805,0.03453792007038756,0.008920242671954536
baseline,300.0,3.0,calibration_block_2,calibration,20260326.0,20260416.0,sparse_partial_high_noise,high_skew,0.20555661917540657,0.6027915804267757,1.1609717565708384,0.1040885779232617,0.49100737675021944,0.4049040453265189,1.1866154632460388,5.0,10.0,0.0009,0.21154157004895185,0.3706754761429192,1.2776149237304926,0.351471533937942,0.6128892524596496,0.035639213602408404,1.319763494163795,0.003047425893099807,0.5535839110475959,0.0011210555847996797,0.22,0.30331047614291917,1.1738749237304926,0.5229691206338524,0.4539912618818439,0.02303961748430372,1.319763494163795,0.0029474720408327712,0.5637828691578514,0.0009867963248879146,0.13314803091775618,0.02381796730288473,0.24617655448274034,0.10390242482068147,0.0,0.13314803091775618,0.03263360033188858,0.27925369514039383,0.11801294954474474,1.0,0.16113212750749772,0.24542616972849463,0.1791343323816175,0.06212712258441187
baseline,300.0,3.0,calibration_block_2,calibration,20260326.0,20260417.0,sparse_full_noisy,low_skew,0.12736834202203057,0.0032712117242083226,0.7084226108273297,0.4177572516713396,0.4113414645571245,0.1709012837715359,1.1253636301066579,39.0,12.0,0.0004,0.08521215005613364,-0.5668351945636068,1.3611281449147976,0.23301142667408725,0.44062610735599866,0.3263624659699141,0.8617585667460669,0.0010408562282393375,0.5748437724286849,0.00011572242922215371,0.09764130748609917,-0.13442563638392038,0.7637122432054769,0.434958299358673,0.46646790451671655,0.09857379612461054,1.1455565816881033,0.0010572997075598994,0.5805191141324211,0.00011704409360176624,0.263605063360591,0.04625758704810925,0.11888669192202483,0.013691839436655927,0.0,0.020192951581445406,0.04179883627659058,0.048218325097950265,0.011828238356744033,2.0,0.020192951581445406,0.04383510666192449,0.060047140843706416,0.008775352627920775
baseline,300.0,3.0,calibration_block_2,calibration,20260326.0,20260417.0,sparse_full_noisy,mid_skew,0.09047974052530551,0.22568076777600718,0.7162251984823004,0.26805487285948687,0.2626972004032308,0.4692479267372823,0.7818524568839363,9.0,12.0,0.0004,0.06,-0.15874853509858616,1.066294728823198,0.37888908542661265,0.32912969287929666,0.29198122169409063,1.2721045200738916,0.0016880883026253995,0.4748841421523521,0.0010124917436682697,0.06,-0.3421985350985862,1.1404947288231984,0.19872756188885596,0.4245981599748655,0.3766742781362785,1.2721045200738916,0.0016830507301797237,0.4747991126065434,0.0009349132092425396,0.4902520631899553,0.036288945781563914,0.11817780336212776,0.007647909968621554,1.0,0.4902520631899553,0.03338858898407573,0.10436219141025242,0.010688997544599016,1.0,0.011565706582850721,0.04555952255754836,0.21388264632922546,0.013575848403198377
baseline,300.0,3.0,calibration_block_2,calibration,20260326.0,20260417.0,sparse_full_noisy,high_skew,0.11646766926518465,0.5662878117286482,0.9529203959476169,0.4888446081365862,0.2993874072017496,0.21176798466166413,0.8225173096767153,16.0,12.0,0.0004,0.18211124593967148,0.1266348836911603,0.7288922345661838,0.1614736571651611,0.37581237964350495,0.4627139631913339,1.1950713414361094,0.0013440753317309397,0.4126631561526528,0.000297801894244758,0.14370738752771373,-0.5492895936800967,1.1516352235701803,0.5502311424331984,0.2738944127148999,0.17587444485190173,0.8237643669787381,0.0013489468515542687,0.4116823490239791,0.00044162583016360514,0.37255403175939406,0.08669446318730496,0.16729731901977984,0.017241566088718397,0.0,0.0012470573020227915,0.08192213301554607,0.04092435619774143,0.01729726574915498,2.0,0.0009621227285254719,0.06483482219240648,0.0924016275854599,0.004980921764413451
baseline,300.0,3.0,calibration_block_2,calibration,20260326.0,20260417.0,sparse_partial_high_noise,low_skew,0.07822329492923041,-0.1806085087754579,1.2476891232574099,0.2919601454993497,0.17145892022156756,0.5365809342790828,0.8118979550083474,29.0,10.0,0.0009,0.15295239068387448,0.4995431681224808,0.7959338054168179,0.2179886943696364,0.4508547934807517,0.3311565121496119,0.8484521115091751,0.003246802883898459,0.6508554069409076,0.0020369048546229254,0.15401439068387449,0.4995431681224808,0.7651338054168179,0.2179886943696364,0.4508547934807517,0.3311565121496119,0.8484521115091751,0.0032459559774834384,0.651017073381198,0.0020300753554715455,0.03655415650082772,0.10059983406346935,0.1369496147529806,0.031330913349671835,0.0,0.03655415650082772,0.10018055368813372,0.1369496147529806,0.03063516068104962,1.0,0.02652727840438618,0.02890683659814772,0.1401456455394458,0.016722018514882628
baseline,300.0,3.0,calibration_block_2,calibration,20260326.0,20260417.0,sparse_partial_high_noise,mid_skew,0.09162234743912805,0.23231582095435085,0.7154764997448139,0.6806355026035369,0.08513138313678965,0.23423311425967347,1.2619160489624313,4.0,10.0,0.0009,0.07904941960879061,-0.3687485350985862,1.2762947288231983,0.37888908542661265,0.32912969287929666,0.29198122169409063,1.2721045200738916,0.0031359651514445636,0.6011833072689069,0.0012908074219507837,0.06571141960879061,-0.3013835350985862,1.2680347288231981,0.2329432081549359,0.40646712269474217,0.360589669150322,1.2721045200738916,0.003126541813705191,0.6012073760783276,0.001312951160631538,0.010188471111460373,0.031645920305260235,0.20116427811794949,0.010048542888419477,0.0,0.010188471111460373,0.021332333298927114,0.18277891993919648,0.01566321201061017,1.0,0.0682777719483576,0.12768105411400074,0.11451998331579881,0.02835253778398904
baseline,300.0,3.0,calibration_block_2,calibration,20260326.0,20260417.0,sparse_partial_high_noise,high_skew,0.21001218893437446,-0.6280079309469837,1.2279878021865742,0.263411629766224,0.3829880893588132,0.3536002808749628,0.86848329444384,40.0,10.0,0.0009,0.08521215005613364,-0.5668351945636068,1.3611281449147976,0.23301142667408725,0.44062610735599866,0.3263624659699141,0.8384252334127336,0.0030787777890604173,0.6409285456769943,0.0013213932983220217,0.08627415005613363,-0.5748001945636069,1.45,0.20957163650720154,0.45409199701546243,0.336336366477336,0.8384252334127336,0.0030763466148051553,0.6408577247395963,0.0013172018983181588,0.03005806103110642,0.21625031797957406,0.03842534533145699,0.02773682166001412,0.0,0.03005806103110642,0.21004987573341727,0.047402605104432845,0.02839882442481835,1.0,0.007863079636424186,0.03923367802942867,0.021017880434912734,0.0069428213336361734
baseline,300.0,3.0,calibration_block_2,calibration,20260326.0,20260418.0,sparse_full_noisy,low_skew,0.14138871456961102,0.14583597539702348,0.8303547206178697,0.30293125848294444,0.42539295113592834,0.2716757903811272,0.8433559122909388,3.0,12.0,0.0004,0.06,-0.49683519456360675,1.45,0.23301142667408725,0.44062610735599866,0.3263624659699141,0.8384252334127336,0.0012934585430620263,0.534098331766538,0.0004302181263526625,0.06,-0.4444175972818034,1.45,0.23301142667408722,0.44062610735599866,0.3263624659699141,0.8384252334127336,0.001293488337707626,0.5339673175133945,0.00042354416864875385,0.004930678878205197,0.10471793483978686,0.046613221205904797,0.009598521546088897,1.0,0.004930678878205197,0.10510493745862808,0.0466132212059048,0.009374402368444923,1.0,0.004930678878205197,0.06637962589479025,0.046613221205904797,0.010146200022410871
baseline,300.0,3.0,calibration_block_2,calibration,20260326.0,20260418.0,sparse_full_noisy,mid_skew,0.20142507742123975,0.35992966721599756,1.3685427418573746,0.4367782776645094,0.04410913208175863,0.519112590253732,1.2669206668244894,52.0,12.0,0.0004,0.208,0.7,1.2576433050775948,0.30002573477927735,0.22234845210384263,0.47762581311687996,1.243865016327482,0.0016336430320544458,0.3233431635420281,0.00030857071990527307,0.21274,0.648025,1.32548661015519,0.3139657093644345,0.1862167421965053,0.4998175484390601,1.2377986547093003,0.0016313997961186957,0.3288745378818806,0.0003111041359086558,0.02305565049700742,0.033255584881406286,0.11882621334805604,0.009545165950756466,1.0,0.029122012115189166,0.03216833267890257,0.09473840674316447,0.009928063508801788,1.0,0.08305565049700725,0.03297639628172233,0.11882621334805604,0.026575298767607933
baseline,300.0,3.0,calibration_block_2,calibration,20260326.0,20260418.0,sparse_full_noisy,high_skew,0.06803831062831488,0.4964261640515543,0.9752517451676042,0.27936790560766606,0.17652692488575336,0.5441051695065805,0.8130490064634044,13.0,12.0,0.0004,0.0698328485027931,0.3959608725027716,1.0491043042932213,0.6085596239852035,0.20285626306112134,0.1885841129536752,0.8066624419258023,0.0016462003909126952,0.36637450431196283,0.0004870841121232013,0.0824928485027931,0.3814108725027716,1.2355043042932214,0.644058202478003,0.1962112471152442,0.15973055040675274,0.8066624419258023,0.0016491849018868726,0.358019959455734,0.0004720348512899709,0.006386564537602113,0.004621630533284099,0.23701403770193688,0.010171956882848549,1.0,0.006386564537602113,0.03318970643910706,0.2562497460665519,0.011041539428763032,3.0,0.006657285962441084,0.03566955426528428,0.24872836431255863,0.022380984072677506
baseline,300.0,3.0,calibration_block_2,calibration,20260326.0,20260418.0,sparse_partial_high_noise,low_skew,0.07364549747858008,-0.14594916659893772,1.2459474389246548,0.5301522868551795,0.25078288961020045,0.2190648235346201,1.1668612367248918,41.0,10.0,0.0009,0.13739941595087907,-0.34089774973775727,1.039767961391016,0.3656887905158176,0.44867972325827776,0.18563148622590464,1.0012798882935916,0.001461022291039101,0.9980977244298793,0.0012993303863268143,0.09768969572545898,0.10226095316496768,1.1775855510797117,0.4590143776464782,0.23464574170282418,0.3063398806506977,1.027668012113087,0.00152521911302908,0.9591157747348679,0.001097671720017756,0.16558134843130023,0.09796066139609245,0.0766039339370781,0.05650290330862609,0.0,0.13919322461180483,0.03813364162413626,0.058183371410718394,0.05856171090758677,3.0,0.07102066149687447,0.009571862753616656,0.10995898127452464,0.02440507725243477
