block_name,observation_seed,condition,geometry_skew_bin,gate_feature,gate_value,gate_threshold,gate_open,chooser_prediction,chooser_confidence,chosen_candidate,chosen_alpha_error,best_single_candidate,best_single_alpha_error,oracle4_alpha_error,baseline_support_alpha_error,baseline_joint_alpha_error,dense_support_alpha_error,dense_joint_alpha_error,baseline_support_score,baseline_joint_score,dense_support_score,dense_joint_score,baseline_support_entropy,baseline_joint_entropy,dense_support_entropy,dense_joint_entropy
calibration_block_1,20260410,sparse_full_noisy,high_skew,d_joint_entropy,0.5924916924959666,0.3655148794219478,1,baseline_support,0.8933511608663115,baseline_support,0.27690627975286153,baseline_support,0.27690627975286153,0.27690627975286153,0.27690627975286153,0.27690627975286153,0.27690627975286153,0.27690627975286153,0.00104521978382121,0.0010427620262731655,0.00104521978382121,0.0010427620262731655,0.5941292311228168,0.5924916924959666,0.5941292311228168,0.5924916924959666
calibration_block_1,20260410,sparse_full_noisy,low_skew,d_joint_entropy,0.42816640567931347,0.3655148794219478,1,dense_support,0.7372488496786463,dense_support,0.049633774218595494,dense_support,0.049633774218595494,0.049633774218595494,0.05622538398881738,0.05622538398881738,0.049633774218595494,0.05622538398881738,0.0013893439720615108,0.0013847044378524772,0.0013887588176494385,0.0013847044378524772,0.4317266354829334,0.42816640567931347,0.4239416617646858,0.42816640567931347
calibration_block_1,20260410,sparse_full_noisy,mid_skew,d_joint_entropy,0.5443844058264175,0.3655148794219478,1,dense_support,0.8515643332462264,dense_support,0.028725471693911375,dense_support,0.028725471693911375,0.028725471693911375,0.3813729332325503,0.051211358813851415,0.028725471693911375,0.028725471693911375,0.0012889229645328512,0.0013011768198963407,0.0012702499957611755,0.0012669301624900714,0.5173822353807245,0.5499721980965095,0.5396052545803852,0.5443844058264175
calibration_block_1,20260410,sparse_partial_high_noise,high_skew,d_joint_entropy,0.6708243041283203,0.3655148794219478,1,dense_support,0.8693383016566504,dense_support,0.06985799786448665,dense_support,0.06985799786448665,0.06985799786448665,0.07723421370448635,0.3710724499409226,0.06985799786448665,0.37084998722199536,0.0020773879759779517,0.002097297754166235,0.0020752837117418202,0.0021225721104805675,0.7124877938424018,0.6812410568998768,0.7017217231854593,0.6708243041283203
calibration_block_1,20260410,sparse_partial_high_noise,low_skew,d_joint_entropy,0.6605326544996403,0.3655148794219478,1,baseline_joint,0.9178121014716848,baseline_joint,0.12495044851870452,baseline_joint,0.12495044851870452,0.12495044851870452,0.20453265873312065,0.12495044851870452,0.30262149901030144,0.29526569140511716,0.0032417933562216765,0.003105069475836833,0.003069454327521772,0.0029981466351928763,0.5418036348984495,0.6096643537094937,0.6303045083428335,0.6605326544996403
calibration_block_1,20260410,sparse_partial_high_noise,mid_skew,d_joint_entropy,0.6604743881825822,0.3655148794219478,1,baseline_support,0.83264563337779,baseline_support,0.04241115023977127,baseline_support,0.04241115023977127,0.04241115023977127,0.04241115023977127,0.05470941923789163,0.04241115023977127,0.045152617033844766,0.0022823386092488975,0.0022852953124401078,0.0022823386092488975,0.0022812188892663136,0.6586006480561019,0.6532321372587001,0.6586006480561019,0.6604743881825822
calibration_block_1,20260411,sparse_full_noisy,high_skew,d_joint_entropy,0.4855327092631537,0.3655148794219478,1,dense_joint,0.8385785821230155,dense_joint,0.001644577335497166,dense_joint,0.001644577335497166,0.001644577335497166,0.01007926665110026,0.004053517231514592,0.01007926665110026,0.001644577335497166,0.0012017597494282698,0.0012074299262706248,0.0012017597494282698,0.0012055163101619569,0.48841061092643095,0.48947176732858505,0.48841061092643095,0.4855327092631537
calibration_block_1,20260411,sparse_full_noisy,low_skew,d_joint_entropy,0.4812164723715822,0.3655148794219478,1,dense_support,0.9104194111785752,dense_support,0.04197393780195058,dense_support,0.04197393780195058,0.04197393780195058,0.24456948056532868,0.2452345423855815,0.04197393780195058,0.25328689067188914,0.0014775521106648007,0.0014683436801128805,0.0014753954580929895,0.0014849032309682429,0.4908827087193141,0.4942145893790624,0.49317663798565203,0.4812164723715822
calibration_block_1,20260411,sparse_full_noisy,mid_skew,d_joint_entropy,0.36107283726560335,0.3655148794219478,0,baseline_support,0.8755023852380299,dense_support,0.008408824258408387,baseline_support,0.008408824258408387,0.008408824258408387,0.008408824258408387,0.008408824258408387,0.008408824258408387,0.008408824258408387,0.0015448517123294037,0.0015426583274018484,0.0015448517123294037,0.0015426583274018484,0.3599190645607079,0.36107283726560335,0.3599190645607079,0.36107283726560335
calibration_block_1,20260411,sparse_partial_high_noise,high_skew,d_joint_entropy,0.5411513292180866,0.3655148794219478,1,dense_joint,0.927082893810262,dense_joint,0.025292954622323727,dense_joint,0.025292954622323727,0.025292954622323727,0.4991380713624394,0.4991380713624394,0.4991380713624394,0.025292954622323727,0.003042886321285675,0.0030408581118135376,0.003042886321285675,0.0030325219897140033,0.5461193840951627,0.5461418397631822,0.5461193840951627,0.5411513292180866
calibration_block_1,20260411,sparse_partial_high_noise,low_skew,d_joint_entropy,0.9059667507300115,0.3655148794219478,1,dense_support,0.9527293721894173,dense_support,0.13998011426834123,dense_support,0.13998011426834123,0.13998011426834123,0.19169325281327798,0.19845531204933475,0.13998011426834123,0.22122084797544883,0.001198573671097527,0.0012088798238905376,0.001202006637129409,0.0012536108814554083,0.955830186191619,0.9509908849022626,0.984096473432135,0.9059667507300115
calibration_block_1,20260411,sparse_partial_high_noise,mid_skew,d_joint_entropy,0.6058201302601229,0.3655148794219478,1,dense_support,0.9249569141435816,dense_support,0.0006896307899693088,dense_support,0.0006896307899693088,0.0006896307899693088,0.41589311144431806,0.41589311144431806,0.0006896307899693088,0.41589311144431806,0.0029564522439069862,0.002946345111499668,0.002947709809042351,0.002946345111499668,0.6053262423628742,0.6058201302601229,0.61136372616582,0.6058201302601229
calibration_block_1,20260412,sparse_full_noisy,high_skew,d_joint_entropy,0.46961216495412555,0.3655148794219478,1,dense_joint,0.8865976397717727,dense_joint,0.236264744028443,dense_joint,0.236264744028443,0.236264744028443,0.24658897492302412,0.25068211945811814,0.24658897492302412,0.236264744028443,0.0014892077203367137,0.0015061613520967849,0.0014892077203367137,0.0015008953355545526,0.46044414584465226,0.4573746045073748,0.46044414584465226,0.46961216495412555
calibration_block_1,20260412,sparse_full_noisy,low_skew,d_joint_entropy,0.7303818199442289,0.3655148794219478,1,baseline_joint,0.8870514045280098,baseline_joint,0.01869414667889835,baseline_joint,0.01869414667889835,0.01869414667889835,0.19913030969533774,0.01869414667889835,0.022353726874714486,0.023850432895514695,0.0010947563624496082,0.001087421387066993,0.0010916315427437172,0.001092355889462319,0.7140710213725758,0.7228594609242436,0.7278320525967813,0.7303818199442289
calibration_block_1,20260412,sparse_full_noisy,mid_skew,d_joint_entropy,0.3914560642246293,0.3655148794219478,1,baseline_support,0.9323288299962993,baseline_support,0.0054216697521662915,baseline_support,0.0054216697521662915,0.0054216697521662915,0.0054216697521662915,0.367564760643622,0.0054216697521662915,0.367564760643622,0.0013215689509239483,0.0013215818194776527,0.0013215689509239483,0.0013215818194776527,0.393955301605507,0.3914560642246293,0.393955301605507,0.3914560642246293
calibration_block_1,20260412,sparse_partial_high_noise,high_skew,d_joint_entropy,0.5375235494426863,0.3655148794219478,1,baseline_joint,0.9587122830637997,baseline_joint,0.031025485336128034,baseline_joint,0.031025485336128034,0.031025485336128034,0.5142862590264772,0.031025485336128034,0.5142862590264772,0.031025485336128034,0.003262216416391704,0.003254799991229099,0.003262216416391704,0.003254799991229099,0.5393643317857496,0.5375235494426863,0.5393643317857496,0.5375235494426863
calibration_block_1,20260412,sparse_partial_high_noise,low_skew,d_joint_entropy,0.8505747076680524,0.3655148794219478,1,dense_support,0.9174891566676573,dense_support,0.07473268152880874,dense_support,0.07473268152880874,0.07473268152880874,0.07854908015969819,0.09899484881282428,0.07473268152880874,0.09899484881282428,0.0018531862614304152,0.0017960392846488361,0.0018405753230194574,0.0017960392846488361,0.8097168372797782,0.8505747076680524,0.7966328387666676,0.8505747076680524
calibration_block_1,20260412,sparse_partial_high_noise,mid_skew,d_joint_entropy,0.764078703700147,0.3655148794219478,1,baseline_support,0.9811985390600876,baseline_support,0.11963106130610512,baseline_support,0.11963106130610512,0.11963106130610512,0.11963106130610512,0.15277382978390674,0.1698142507512821,0.15277382978390674,0.0019846180541631805,0.0017161843481984544,0.0017749195731080756,0.0017161843481984544,0.7299036301857025,0.764078703700147,0.7759948892751144,0.764078703700147
calibration_block_2,20260416,sparse_full_noisy,high_skew,d_joint_entropy,0.47570852485647663,0.3655148794219478,1,dense_joint,0.8841424045128856,dense_joint,0.45099049538620584,dense_joint,0.45099049538620584,0.45099049538620584,0.45889185946788213,0.4801703652888918,0.4520492314399043,0.45099049538620584,0.001816514758326764,0.0018286248170411756,0.0018061793877380311,0.001807113386815239,0.45394379438262533,0.4581179148273589,0.4758502066509949,0.47570852485647663
